CellNumber	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
3	480.58842671	495.258444543	64.6388941058	468.30668477	43.3746952895	375.455506604	32.0144657738	44.3702867751	445.947104912	72.7437511735	408.739430951	101.145540017	69.3468450161	283.71985416	361.914815359	447.310585237	68.4456302248	64.6480103753	514.634712145	42.5000735976	73.7845788483
16	494.830846399	520.557514221	102.281504037	506.335120257	71.491480249	419.021028154	54.5070788737	71.1257073862	458.964665183	115.012566214	444.822752875	142.226076503	110.276541191	332.977708073	378.086155583	491.021654263	108.231211271	98.0377354899	559.947069082	70.8045339665	116.534885268
17	425.949417514	439.378935261	13.2400880947	447.13701869	10.4152745901	380.749073918	8.61949282774	9.57930174431	408.198605936	15.6002056052	317.606739724	25.0547562137	14.4966038418	205.10172802	260.042991788	342.780785258	13.9802437507	15.5981355873	518.01645509	10.609524455	14.996459277
27	352.714181859	303.738744793	0.0	331.881502688	0.0	204.624263114	0.0	0.0	223.087211925	0.552757496128	281.308821298	10.2305722829	0.0	146.499960937	213.179992525	333.694071686	0.0	3.4169987066	339.525581223	0.0	0.0
28	271.821607781	188.721088358	0.0	265.3549458	0.0	116.449305746	0.0	0.0	67.1869945558	0.0	236.693964928	0.0	0.0	106.059512228	129.85560142	311.782942134	0.0	0.0	244.87106773	0.0	0.0
29	340.253840228	355.742848975	9.80227138808	387.76910717	8.0033792572	347.095049552	5.43512071624	6.27540778576	321.331016186	13.3944153446	250.738526181	15.951170347	14.1135576278	166.071450082	176.718980425	285.193496088	12.0360884874	10.277589949	460.041713939	6.45677758428	13.8482108517
30	403.800604953	428.208463394	60.0618136019	432.722405921	40.6012783556	375.86438898	30.4417700828	41.4216311783	384.865448695	67.6518817784	342.835159935	83.5762746029	66.4908315428	246.885150097	273.41193344	381.220767684	64.4193930784	58.4415003453	491.013452561	37.520594679	68.0748638558
31	454.35958233	455.957077194	10.5206968525	435.906867518	6.92369407278	346.42452958	4.89376965552	7.13355409096	424.260113957	12.396330688	342.668238189	32.0125855359	10.3490728921	211.397066816	307.738296648	367.76311689	10.7657556831	14.8725879003	489.520549399	7.81672823643	12.2306845203
32	472.70424984	449.502750908	0.0	380.19736095	0.0	250.861219907	0.0	0.0	419.62163463	1.88504479449	357.720876981	34.8888747082	0.0	199.472179058	372.240216397	381.767385635	0.0	11.652841743	395.380803423	0.0	0.0
34	467.258739973	446.611604253	0.0	383.459836945	0.0	259.525924672	0.0	0.0	417.076431884	1.77373738757	352.46140859	32.8287697254	0.0	197.92110863	361.456453652	376.435892178	0.0	10.9647691829	402.901229116	0.0	0.0
