CellNumber	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
3	392.215048142	305.059298893	64.6388941058	456.625757324	43.3746952895	163.924651588	32.0144657738	44.3702867751	184.815712722	71.7064778474	331.322910692	83.5973922922	69.3468450161	225.184828984	208.135701299	418.840988733	68.4456302248	58.2358646543	492.693133283	42.5000735976	73.7845788483
16	416.947966925	345.606235363	102.281504037	496.289187344	71.491480249	206.6352401	54.5070788737	71.1257073862	214.431494559	114.23461122	376.505003092	129.064965709	110.276541191	277.064417678	252.953105165	465.433790148	108.231211271	93.2286261991	540.206208132	70.8045339665	116.534885268
17	334.407851029	211.448075224	13.2400880947	436.084879144	10.4152745901	52.1318495968	8.61949282774	9.57930174431	76.9770669406	15.1000916802	237.030730744	16.594042132	14.4966038418	126.220882374	144.57512293	311.191188473	13.9802437507	12.5065653289	493.584929219	10.609524455	14.996459277
27	292.07773956	176.249965148	0.0	316.369610023	0.0	30.1407585483	0.0	0.0	52.6145644265	0.0	194.370114055	0.879256718841	0.0	86.3089142425	85.4017362458	279.461568451	0.0	0.0	316.296117836	0.0	0.0
28	246.650837571	138.92191793	0.0	248.670528478	0.0	0.874925275376	0.0	0.0	6.57395739229	0.0	154.137624048	0.0	0.0	53.0321382278	46.9084491406	241.577702592	0.0	0.0	223.914014586	0.0	0.0
29	268.886239908	167.523212371	9.80227138808	378.605284021	8.0033792572	33.7002405632	5.43512071624	6.27540778576	38.4315156765	13.3944153446	184.636674558	15.951170347	14.1135576278	94.2550712508	115.623007165	251.980681442	12.0360884874	10.277589949	440.005400705	6.45677758428	13.8482108517
30	332.908746897	257.474380687	60.0618136019	423.615473458	40.6012783556	131.162302004	30.4417700828	41.4216311783	137.113868682	67.2629042811	279.986622904	76.995719206	66.4908315428	187.967428174	185.589146187	356.124339285	64.4193930784	56.0369456999	472.676742666	37.520594679	68.0748638558
31	353.417224027	229.55264795	10.5206968525	422.874812784	6.92369407278	72.3822517359	4.89376965552	7.13355409096	108.006003882	11.3816067821	254.127344925	14.8459192831	10.3490728921	139.133405238	145.065143829	334.622739095	10.7657556831	8.59983665148	463.95391357	7.81672823643	12.2306845203
32	360.413606104	240.646516321	0.0	364.100853761	0.0	94.016028314	0.0	0.0	151.238167231	0.0	259.55002398	2.99849086169	0.0	143.965267577	134.272443826	347.407487983	0.0	0.0	369.416352687	0.0	0.0
34	356.607664083	236.420881032	0.0	367.739155595	0.0	89.2056535103	0.0	0.0	143.941888964	0.0	255.658009164	2.82143711557	0.0	140.609458159	133.394272221	342.257351464	0.0	0.0	377.080169621	0.0	0.0
39	315.204979905	214.203530359	32.3194470529	373.065295161	21.6873476447	65.2240026674	16.0072328869	22.1851433876	70.8832328475	35.8532389237	235.713703729	41.1799599365	34.6734225081	130.135635341	125.749258863	322.660562995	34.2228151124	29.1179323271	387.45109554	21.2500367988	36.8922894242
40	252.748188431	144.650016051	0.0	244.886617636	0.0	5.42121236419	0.0	0.0	13.474501144	0.0	159.558021774	0.176781774159	0.0	56.4353001215	46.8506265176	249.621513369	0.0	0.0	213.440146177	0.0	0.0
41	258.982089853	147.868352547	0.0	315.455981417	0.0	11.4901384807	0.0	0.0	23.9865223909	0.0	166.30684461	0.176781774159	0.0	69.5593654432	80.751624518	240.303307898	0.0	0.0	338.008122996	0.0	0.0
42	268.863238485	154.652933802	0.0	384.388023823	0.0	11.1796007409	0.0	0.0	24.6504912055	0.0	174.556642219	0.0	0.0	77.782778224	107.041085633	237.341728075	0.0	0.0	452.132715052	0.0	0.0
43	320.367349814	198.506269933	0.0	421.613460317	0.0	34.9879783417	0.0	0.0	61.7221716397	0.0	216.958723739	0.82498161274	0.0	103.31966676	125.304750099	291.256247549	0.0	0.0	481.806598381	0.0	0.0
44	336.57299352	213.335433685	0.0	436.738197034	0.0	42.2168267337	0.0	0.0	84.2042237234	0.059209729551	231.158145652	1.56364169084	0.0	114.299347121	134.604876985	307.919161183	0.0	1.04679271788	488.395812822	0.0	0.0
45	336.113524517	209.943601653	0.0	407.421970942	0.0	53.7463170322	0.0	0.0	90.4131597673	0.0	232.391435617	1.50264508035	0.0	118.188935042	130.382244714	310.64430037	0.0	0.0	448.919302838	0.0	0.0
46	319.258671728	193.815656895	0.0	409.582071165	0.0	39.0797657598	0.0	0.0	67.9899647	0.0	216.75884253	0.972299757872	0.0	106.348526943	125.301034105	290.531547485	0.0	0.0	461.628991506	0.0	0.0
47	341.522478044	267.79470458	53.1095081508	454.077298463	38.1953352466	132.536935944	29.0638577592	36.5070166716	132.803850789	63.7587925009	283.627804524	72.5809684483	67.3379296833	183.982137938	191.284191354	368.696797407	60.631074846	55.3102201619	507.078072101	29.0231049381	62.2710257432
48	314.285476903	180.7442579	0.0	455.077066534	0.0	13.4155208891	0.0	0.0	29.5805894466	0.0	206.991136732	0.0	0.0	93.1421844902	127.634678135	275.93265166	0.0	0.0	533.634855999	0.0	0.0
49	314.285476903	180.7442579	0.0	455.077066534	0.0	13.4155208891	0.0	0.0	29.5805894466	0.0	206.991136732	0.0	0.0	93.1421844902	127.634678135	275.93265166	0.0	0.0	533.634855999	0.0	0.0
52	334.383074093	212.975416101	17.5648626842	428.336082471	11.8798915644	55.7665690203	8.01689016182	11.6225935267	72.8326759212	19.5314024969	239.164476609	24.0345616502	18.0827402818	129.084238634	139.135296822	317.398288575	18.3478303339	14.5383497417	479.062287501	13.0894981627	21.6193886323
53	187.055180213	123.05196327	11.725017282	199.10619581	10.5462129489	33.5821508353	6.05519741893	6.73970502652	21.9391210245	19.182694338	128.038664833	24.2009073823	19.2581039509	65.3195255461	51.7337848893	202.277062894	15.2316454589	12.5446695696	191.744101014	11.0416234541	19.4148117685
54	305.824343484	178.628090192	0.0	416.147672546	0.0	19.9711663932	0.0	0.0	38.8164956969	0.0	202.409575895	0.303054469986	0.0	91.7570274499	117.013153674	274.806367979	0.0	0.0	473.918750138	0.0	0.0
55	298.813601861	187.485830573	13.8683273202	411.593221317	9.43376709924	42.722994574	7.16626489337	9.60248313812	56.5039407965	15.6563814138	210.229812303	17.9087149611	15.758895046	109.588060269	132.195576563	279.076805717	15.0366649515	13.3194505675	475.095950137	8.27411889553	15.6226720681
56	198.698135231	156.776547013	27.3583736579	255.082755994	24.607830214	86.0154844615	14.1287939775	15.7259783952	58.7693844914	44.7596201219	157.774368299	56.6455656662	44.9355758854	114.753758171	97.6364360901	228.166424014	35.5405060707	29.2708956624	292.486432449	25.7637880595	45.3012274599
57	337.47520813	234.75886533	39.4319890544	441.625194386	27.5027625642	93.0580109481	19.2175740318	26.3658254297	98.9740194832	45.448736486	260.756964692	53.746654968	43.259926181	162.958380254	165.972717563	338.048508348	42.3559718399	34.4975380695	501.497932278	28.4712366991	48.2938121537
58	343.244304059	217.604234291	0.0	425.273771196	0.0	55.2577497787	0.786447973882	0.0772127756033	90.8278059881	4.90634207695	237.536261085	4.14713110409	2.75052012986	120.544574588	134.654590441	317.02629422	0.198156100453	3.4095493902	476.869875763	0.0	0.0
59	272.020419218	173.550495746	15.6870891788	358.898475488	11.5692010293	47.922070194	7.45715803324	10.0665364102	60.5295171419	19.1329569567	191.646886369	23.7075409731	17.7855749506	108.313387161	118.549826416	259.415031747	17.2126791042	13.5533969123	410.025529302	12.8589647653	21.1892729849
60	234.766755904	189.348118451	29.7633845694	314.758932208	21.8177676518	75.9574261676	15.2817900522	19.6695074857	69.6666091629	39.4381208699	184.744277711	46.5821011942	39.7802028336	112.041894959	114.20024793	254.344931824	34.2884296932	31.387739482	371.334429586	21.1330836609	36.811945053
61	313.09703818	186.033783923	0.0	451.633000053	0.0	15.2371986045	0.0	0.0	36.8735362673	0.025375598379	207.247403958	0.291314065733	0.0	93.5761163807	127.140213237	276.881923172	0.0	0.448625450518	527.884532044	0.0	0.0
