FID	X	Y
230	227234.7989	1893965.101
231	227334.7989	1893965.101
232	227434.7989	1893965.101
233	227534.7989	1893965.101
234	227634.7989	1893965.101
235	227734.7989	1893965.101
236	227834.7989	1893965.101
237	227934.7989	1893965.101
238	228034.7989	1893965.101
239	228134.7989	1893965.101
240	224634.7989	1894065.101
241	224734.7989	1894065.101
242	224834.7989	1894065.101
243	224934.7989	1894065.101
244	225034.7989	1894065.101
245	225134.7989	1894065.101
246	225234.7989	1894065.101
247	225334.7989	1894065.101
248	225434.7989	1894065.101
249	225534.7989	1894065.101
250	225634.7989	1894065.101
251	225734.7989	1894065.101
252	225834.7989	1894065.101
253	225934.7989	1894065.101
254	226034.7989	1894065.101
255	226134.7989	1894065.101
256	226234.7989	1894065.101
257	226334.7989	1894065.101
258	226434.7989	1894065.101
259	226534.7989	1894065.101
260	226634.7989	1894065.101
261	226734.7989	1894065.101
262	226834.7989	1894065.101
263	226934.7989	1894065.101
264	227034.7989	1894065.101
265	227134.7989	1894065.101
266	227234.7989	1894065.101
267	227334.7989	1894065.101
268	227434.7989	1894065.101
269	227534.7989	1894065.101
270	227634.7989	1894065.101
271	227734.7989	1894065.101
272	227834.7989	1894065.101
273	227934.7989	1894065.101
274	228034.7989	1894065.101
275	228134.7989	1894065.101
276	228234.7989	1894065.101
277	228334.7989	1894065.101
278	228434.7989	1894065.101
279	228534.7989	1894065.101
280	228634.7989	1894065.101
281	229934.7989	1894065.101
282	230034.7989	1894065.101
283	230134.7989	1894065.101
284	230234.7989	1894065.101
285	224434.7989	1894165.101
286	224534.7989	1894165.101
287	224634.7989	1894165.101
288	224734.7989	1894165.101
289	224834.7989	1894165.101
290	224934.7989	1894165.101
291	225034.7989	1894165.101
292	225134.7989	1894165.101
293	225234.7989	1894165.101
294	225334.7989	1894165.101
295	225434.7989	1894165.101
296	225534.7989	1894165.101
297	225634.7989	1894165.101
298	225734.7989	1894165.101
299	225834.7989	1894165.101
300	225934.7989	1894165.101
301	226034.7989	1894165.101
302	226134.7989	1894165.101
303	226234.7989	1894165.101
304	226334.7989	1894165.101
305	226434.7989	1894165.101
306	226534.7989	1894165.101
307	226634.7989	1894165.101
308	226734.7989	1894165.101
309	226834.7989	1894165.101
310	226934.7989	1894165.101
311	227034.7989	1894165.101
312	227134.7989	1894165.101
313	227234.7989	1894165.101
314	227334.7989	1894165.101
315	227434.7989	1894165.101
316	227534.7989	1894165.101
317	227634.7989	1894165.101
318	227734.7989	1894165.101
319	227834.7989	1894165.101
320	227934.7989	1894165.101
321	228034.7989	1894165.101
322	228134.7989	1894165.101
323	228234.7989	1894165.101
324	228334.7989	1894165.101
325	228434.7989	1894165.101
326	228534.7989	1894165.101
327	228634.7989	1894165.101
328	228734.7989	1894165.101
329	228834.7989	1894165.101
330	228934.7989	1894165.101
331	229534.7989	1894165.101
332	229634.7989	1894165.101
333	229734.7989	1894165.101
334	229834.7989	1894165.101
335	229934.7989	1894165.101
336	230034.7989	1894165.101
337	230134.7989	1894165.101
338	230234.7989	1894165.101
339	230334.7989	1894165.101
340	224334.7989	1894265.101
341	224434.7989	1894265.101
342	224534.7989	1894265.101
343	224634.7989	1894265.101
344	224734.7989	1894265.101
345	224834.7989	1894265.101
346	224934.7989	1894265.101
347	225034.7989	1894265.101
348	225134.7989	1894265.101
349	225234.7989	1894265.101
350	225334.7989	1894265.101
351	225434.7989	1894265.101
352	225534.7989	1894265.101
353	225634.7989	1894265.101
354	225734.7989	1894265.101
355	225834.7989	1894265.101
356	225934.7989	1894265.101
357	226034.7989	1894265.101
358	226134.7989	1894265.101
359	226234.7989	1894265.101
360	226334.7989	1894265.101
361	226434.7989	1894265.101
362	226534.7989	1894265.101
363	226634.7989	1894265.101
364	226734.7989	1894265.101
365	226834.7989	1894265.101
366	226934.7989	1894265.101
367	227034.7989	1894265.101
368	227134.7989	1894265.101
369	227234.7989	1894265.101
370	227334.7989	1894265.101
371	227434.7989	1894265.101
372	227534.7989	1894265.101
373	227634.7989	1894265.101
374	227734.7989	1894265.101
375	227834.7989	1894265.101
376	227934.7989	1894265.101
377	228034.7989	1894265.101
378	228134.7989	1894265.101
379	228234.7989	1894265.101
380	228334.7989	1894265.101
381	228434.7989	1894265.101
382	228534.7989	1894265.101
383	228634.7989	1894265.101
384	228734.7989	1894265.101
385	228834.7989	1894265.101
386	228934.7989	1894265.101
387	229034.7989	1894265.101
388	229134.7989	1894265.101
389	229434.7989	1894265.101
390	229534.7989	1894265.101
391	229634.7989	1894265.101
392	229734.7989	1894265.101
393	229834.7989	1894265.101
394	229934.7989	1894265.101
395	230034.7989	1894265.101
396	230134.7989	1894265.101
397	230234.7989	1894265.101
398	230334.7989	1894265.101
399	224234.7989	1894365.101
400	224334.7989	1894365.101
401	224434.7989	1894365.101
402	224534.7989	1894365.101
403	224634.7989	1894365.101
404	224734.7989	1894365.101
405	224834.7989	1894365.101
406	224934.7989	1894365.101
407	225034.7989	1894365.101
408	225134.7989	1894365.101
409	225234.7989	1894365.101
410	225334.7989	1894365.101
411	225434.7989	1894365.101
412	225534.7989	1894365.101
413	225634.7989	1894365.101
414	225734.7989	1894365.101
415	225834.7989	1894365.101
416	225934.7989	1894365.101
417	226034.7989	1894365.101
418	226134.7989	1894365.101
419	226234.7989	1894365.101
420	226334.7989	1894365.101
421	226434.7989	1894365.101
422	226534.7989	1894365.101
423	226634.7989	1894365.101
424	226734.7989	1894365.101
425	226834.7989	1894365.101
426	226934.7989	1894365.101
427	227034.7989	1894365.101
428	227134.7989	1894365.101
429	227234.7989	1894365.101
430	227334.7989	1894365.101
431	227434.7989	1894365.101
432	227534.7989	1894365.101
433	227634.7989	1894365.101
434	227734.7989	1894365.101
435	227834.7989	1894365.101
436	227934.7989	1894365.101
437	228034.7989	1894365.101
438	228134.7989	1894365.101
439	228234.7989	1894365.101
440	228334.7989	1894365.101
441	228434.7989	1894365.101
442	228534.7989	1894365.101
443	228634.7989	1894365.101
444	228734.7989	1894365.101
445	228834.7989	1894365.101
446	228934.7989	1894365.101
447	229034.7989	1894365.101
448	229134.7989	1894365.101
449	229234.7989	1894365.101
450	229334.7989	1894365.101
451	229434.7989	1894365.101
452	229534.7989	1894365.101
453	229634.7989	1894365.101
454	229734.7989	1894365.101
455	229834.7989	1894365.101
456	229934.7989	1894365.101
457	230034.7989	1894365.101
458	230134.7989	1894365.101
459	230234.7989	1894365.101
460	230334.7989	1894365.101
461	224234.7989	1894465.101
462	224334.7989	1894465.101
463	224434.7989	1894465.101
464	224534.7989	1894465.101
465	224634.7989	1894465.101
466	224734.7989	1894465.101
467	224834.7989	1894465.101
468	224934.7989	1894465.101
469	225034.7989	1894465.101
470	225134.7989	1894465.101
471	225234.7989	1894465.101
472	225334.7989	1894465.101
473	225434.7989	1894465.101
474	225534.7989	1894465.101
475	225634.7989	1894465.101
476	225734.7989	1894465.101
477	225834.7989	1894465.101
478	225934.7989	1894465.101
479	226034.7989	1894465.101
480	226134.7989	1894465.101
481	226234.7989	1894465.101
482	226334.7989	1894465.101
483	226434.7989	1894465.101
484	226534.7989	1894465.101
485	226634.7989	1894465.101
486	226734.7989	1894465.101
487	226834.7989	1894465.101
488	226934.7989	1894465.101
489	227034.7989	1894465.101
490	227134.7989	1894465.101
491	227234.7989	1894465.101
492	227334.7989	1894465.101
493	227434.7989	1894465.101
494	227534.7989	1894465.101
495	227634.7989	1894465.101
496	227734.7989	1894465.101
497	227834.7989	1894465.101
498	227934.7989	1894465.101
499	228034.7989	1894465.101
500	228134.7989	1894465.101
501	228234.7989	1894465.101
502	228334.7989	1894465.101
503	228434.7989	1894465.101
504	228534.7989	1894465.101
505	228634.7989	1894465.101
506	228734.7989	1894465.101
507	228834.7989	1894465.101
508	228934.7989	1894465.101
509	229034.7989	1894465.101
510	229134.7989	1894465.101
511	229234.7989	1894465.101
512	229334.7989	1894465.101
513	229434.7989	1894465.101
514	229534.7989	1894465.101
515	229634.7989	1894465.101
516	229734.7989	1894465.101
517	229834.7989	1894465.101
518	229934.7989	1894465.101
519	230034.7989	1894465.101
520	230134.7989	1894465.101
521	230234.7989	1894465.101
522	230334.7989	1894465.101
523	224334.7989	1894565.101
524	224434.7989	1894565.101
525	224534.7989	1894565.101
526	224634.7989	1894565.101
527	224734.7989	1894565.101
528	224834.7989	1894565.101
529	224934.7989	1894565.101
530	225034.7989	1894565.101
531	225134.7989	1894565.101
532	225234.7989	1894565.101
533	225334.7989	1894565.101
534	225434.7989	1894565.101
535	225534.7989	1894565.101
536	225634.7989	1894565.101
537	225734.7989	1894565.101
538	225834.7989	1894565.101
539	225934.7989	1894565.101
540	226034.7989	1894565.101
541	226134.7989	1894565.101
542	226234.7989	1894565.101
543	226334.7989	1894565.101
544	226434.7989	1894565.101
545	226534.7989	1894565.101
546	226634.7989	1894565.101
547	226734.7989	1894565.101
548	226834.7989	1894565.101
549	226934.7989	1894565.101
550	227034.7989	1894565.101
551	227134.7989	1894565.101
552	227234.7989	1894565.101
553	227334.7989	1894565.101
554	227434.7989	1894565.101
555	227534.7989	1894565.101
556	227634.7989	1894565.101
557	227734.7989	1894565.101
558	227834.7989	1894565.101
559	227934.7989	1894565.101
560	228034.7989	1894565.101
561	228134.7989	1894565.101
562	228234.7989	1894565.101
563	228334.7989	1894565.101
564	228434.7989	1894565.101
565	228534.7989	1894565.101
566	228634.7989	1894565.101
567	228734.7989	1894565.101
568	228834.7989	1894565.101
569	228934.7989	1894565.101
570	229034.7989	1894565.101
571	229134.7989	1894565.101
572	229234.7989	1894565.101
573	229334.7989	1894565.101
574	229434.7989	1894565.101
575	229534.7989	1894565.101
576	229634.7989	1894565.101
577	229734.7989	1894565.101
578	229834.7989	1894565.101
579	229934.7989	1894565.101
580	230034.7989	1894565.101
581	230134.7989	1894565.101
582	230234.7989	1894565.101
583	230334.7989	1894565.101
584	230434.7989	1894565.101
585	230534.7989	1894565.101
586	230634.7989	1894565.101
587	231134.7989	1894565.101
588	231234.7989	1894565.101
589	224334.7989	1894665.101
590	224434.7989	1894665.101
591	224534.7989	1894665.101
592	224634.7989	1894665.101
593	224734.7989	1894665.101
594	224834.7989	1894665.101
595	224934.7989	1894665.101
596	225034.7989	1894665.101
597	225134.7989	1894665.101
598	225234.7989	1894665.101
599	225334.7989	1894665.101
600	225434.7989	1894665.101
601	225534.7989	1894665.101
602	225634.7989	1894665.101
603	225734.7989	1894665.101
604	225834.7989	1894665.101
605	225934.7989	1894665.101
606	226034.7989	1894665.101
607	226134.7989	1894665.101
608	226234.7989	1894665.101
609	226334.7989	1894665.101
610	226434.7989	1894665.101
611	226534.7989	1894665.101
612	226634.7989	1894665.101
613	226734.7989	1894665.101
614	226834.7989	1894665.101
615	226934.7989	1894665.101
616	227034.7989	1894665.101
617	227134.7989	1894665.101
618	227234.7989	1894665.101
619	227334.7989	1894665.101
620	227434.7989	1894665.101
621	227534.7989	1894665.101
622	227634.7989	1894665.101
623	227734.7989	1894665.101
624	227834.7989	1894665.101
625	227934.7989	1894665.101
626	228034.7989	1894665.101
627	228134.7989	1894665.101
628	228234.7989	1894665.101
629	228334.7989	1894665.101
630	228434.7989	1894665.101
631	228534.7989	1894665.101
632	228634.7989	1894665.101
633	228734.7989	1894665.101
634	228834.7989	1894665.101
635	228934.7989	1894665.101
636	229034.7989	1894665.101
637	229134.7989	1894665.101
638	229234.7989	1894665.101
639	229334.7989	1894665.101
640	229434.7989	1894665.101
641	229534.7989	1894665.101
642	229634.7989	1894665.101
643	229734.7989	1894665.101
644	229834.7989	1894665.101
645	229934.7989	1894665.101
646	230034.7989	1894665.101
647	230134.7989	1894665.101
648	230234.7989	1894665.101
649	230334.7989	1894665.101
650	230434.7989	1894665.101
651	230534.7989	1894665.101
652	230634.7989	1894665.101
653	230734.7989	1894665.101
654	230834.7989	1894665.101
655	230934.7989	1894665.101
656	231034.7989	1894665.101
657	231134.7989	1894665.101
658	231234.7989	1894665.101
659	224234.7989	1894765.101
660	224334.7989	1894765.101
661	224434.7989	1894765.101
662	224534.7989	1894765.101
663	224634.7989	1894765.101
664	224734.7989	1894765.101
665	224834.7989	1894765.101
666	224934.7989	1894765.101
667	225034.7989	1894765.101
668	225134.7989	1894765.101
669	225234.7989	1894765.101
670	225334.7989	1894765.101
671	225434.7989	1894765.101
672	225534.7989	1894765.101
673	225634.7989	1894765.101
674	225734.7989	1894765.101
675	225834.7989	1894765.101
676	225934.7989	1894765.101
677	226034.7989	1894765.101
678	226134.7989	1894765.101
679	226234.7989	1894765.101
680	226334.7989	1894765.101
681	226434.7989	1894765.101
682	226534.7989	1894765.101
683	226634.7989	1894765.101
684	226734.7989	1894765.101
685	226834.7989	1894765.101
686	226934.7989	1894765.101
687	227034.7989	1894765.101
688	227134.7989	1894765.101
689	227234.7989	1894765.101
690	227334.7989	1894765.101
691	227434.7989	1894765.101
692	227534.7989	1894765.101
693	227634.7989	1894765.101
694	227734.7989	1894765.101
695	227834.7989	1894765.101
696	227934.7989	1894765.101
697	228034.7989	1894765.101
698	228134.7989	1894765.101
699	228234.7989	1894765.101
700	228334.7989	1894765.101
701	228434.7989	1894765.101
702	228534.7989	1894765.101
703	228634.7989	1894765.101
704	228734.7989	1894765.101
705	228834.7989	1894765.101
706	228934.7989	1894765.101
707	229034.7989	1894765.101
708	229134.7989	1894765.101
709	229234.7989	1894765.101
710	229334.7989	1894765.101
711	229434.7989	1894765.101
712	229534.7989	1894765.101
713	229634.7989	1894765.101
714	229734.7989	1894765.101
715	229834.7989	1894765.101
716	229934.7989	1894765.101
717	230034.7989	1894765.101
718	230134.7989	1894765.101
719	230234.7989	1894765.101
720	230334.7989	1894765.101
721	230434.7989	1894765.101
722	230534.7989	1894765.101
723	230634.7989	1894765.101
724	230734.7989	1894765.101
725	230834.7989	1894765.101
726	230934.7989	1894765.101
727	231034.7989	1894765.101
728	231134.7989	1894765.101
729	231234.7989	1894765.101
730	224134.7989	1894865.101
731	224234.7989	1894865.101
732	224334.7989	1894865.101
733	224434.7989	1894865.101
734	224534.7989	1894865.101
735	224634.7989	1894865.101
736	224734.7989	1894865.101
737	224834.7989	1894865.101
738	224934.7989	1894865.101
739	225034.7989	1894865.101
740	225134.7989	1894865.101
741	225234.7989	1894865.101
742	225334.7989	1894865.101
743	225434.7989	1894865.101
744	225534.7989	1894865.101
745	225634.7989	1894865.101
746	225734.7989	1894865.101
747	225834.7989	1894865.101
748	225934.7989	1894865.101
749	226034.7989	1894865.101
750	226134.7989	1894865.101
751	226234.7989	1894865.101
752	226334.7989	1894865.101
753	226434.7989	1894865.101
754	226534.7989	1894865.101
755	226634.7989	1894865.101
756	226734.7989	1894865.101
757	226834.7989	1894865.101
758	226934.7989	1894865.101
759	227034.7989	1894865.101
760	227134.7989	1894865.101
761	227234.7989	1894865.101
762	227334.7989	1894865.101
763	227434.7989	1894865.101
764	227534.7989	1894865.101
765	227634.7989	1894865.101
766	227734.7989	1894865.101
767	227834.7989	1894865.101
768	227934.7989	1894865.101
769	228034.7989	1894865.101
770	228134.7989	1894865.101
771	228234.7989	1894865.101
772	228334.7989	1894865.101
773	228434.7989	1894865.101
774	228534.7989	1894865.101
775	228634.7989	1894865.101
776	228734.7989	1894865.101
777	228834.7989	1894865.101
778	228934.7989	1894865.101
779	229034.7989	1894865.101
780	229134.7989	1894865.101
781	229234.7989	1894865.101
782	229334.7989	1894865.101
783	229434.7989	1894865.101
784	229534.7989	1894865.101
785	229634.7989	1894865.101
786	229734.7989	1894865.101
787	229834.7989	1894865.101
788	229934.7989	1894865.101
789	230034.7989	1894865.101
790	230134.7989	1894865.101
791	230234.7989	1894865.101
792	230334.7989	1894865.101
793	230434.7989	1894865.101
794	230534.7989	1894865.101
795	230634.7989	1894865.101
796	230734.7989	1894865.101
797	230834.7989	1894865.101
798	230934.7989	1894865.101
799	231034.7989	1894865.101
800	231134.7989	1894865.101
801	231234.7989	1894865.101
802	224134.7989	1894965.101
803	224234.7989	1894965.101
804	224334.7989	1894965.101
805	224434.7989	1894965.101
806	224534.7989	1894965.101
807	224634.7989	1894965.101
808	224734.7989	1894965.101
809	224834.7989	1894965.101
810	224934.7989	1894965.101
811	225034.7989	1894965.101
812	225134.7989	1894965.101
813	225234.7989	1894965.101
814	225334.7989	1894965.101
815	225434.7989	1894965.101
816	225534.7989	1894965.101
817	225634.7989	1894965.101
818	225734.7989	1894965.101
819	225834.7989	1894965.101
820	225934.7989	1894965.101
821	226034.7989	1894965.101
822	226134.7989	1894965.101
823	226234.7989	1894965.101
824	226334.7989	1894965.101
825	226434.7989	1894965.101
826	226534.7989	1894965.101
827	226634.7989	1894965.101
828	226734.7989	1894965.101
829	226834.7989	1894965.101
830	226934.7989	1894965.101
831	227034.7989	1894965.101
832	227134.7989	1894965.101
833	227234.7989	1894965.101
834	227334.7989	1894965.101
835	227434.7989	1894965.101
836	227534.7989	1894965.101
837	227634.7989	1894965.101
838	227734.7989	1894965.101
839	227834.7989	1894965.101
840	227934.7989	1894965.101
841	228034.7989	1894965.101
842	228134.7989	1894965.101
843	228234.7989	1894965.101
844	228334.7989	1894965.101
845	228434.7989	1894965.101
846	228534.7989	1894965.101
847	228634.7989	1894965.101
848	228734.7989	1894965.101
849	228834.7989	1894965.101
850	228934.7989	1894965.101
851	229034.7989	1894965.101
852	229134.7989	1894965.101
853	229234.7989	1894965.101
854	229334.7989	1894965.101
855	229434.7989	1894965.101
856	229534.7989	1894965.101
857	229634.7989	1894965.101
858	229734.7989	1894965.101
859	229834.7989	1894965.101
860	229934.7989	1894965.101
861	230034.7989	1894965.101
862	230134.7989	1894965.101
863	230234.7989	1894965.101
864	230334.7989	1894965.101
865	230434.7989	1894965.101
866	230534.7989	1894965.101
867	230634.7989	1894965.101
868	230734.7989	1894965.101
869	230834.7989	1894965.101
870	230934.7989	1894965.101
871	231034.7989	1894965.101
872	231134.7989	1894965.101
873	231234.7989	1894965.101
874	231334.7989	1894965.101
875	224134.7989	1895065.101
876	224234.7989	1895065.101
877	224334.7989	1895065.101
878	224434.7989	1895065.101
879	224534.7989	1895065.101
880	224634.7989	1895065.101
881	224734.7989	1895065.101
882	224834.7989	1895065.101
883	224934.7989	1895065.101
884	225034.7989	1895065.101
885	225134.7989	1895065.101
886	225234.7989	1895065.101
887	225334.7989	1895065.101
888	225434.7989	1895065.101
889	225534.7989	1895065.101
890	225634.7989	1895065.101
891	225734.7989	1895065.101
892	225834.7989	1895065.101
893	225934.7989	1895065.101
894	226034.7989	1895065.101
895	226134.7989	1895065.101
896	226234.7989	1895065.101
897	226334.7989	1895065.101
898	226434.7989	1895065.101
899	226534.7989	1895065.101
900	226634.7989	1895065.101
901	226734.7989	1895065.101
902	226834.7989	1895065.101
903	226934.7989	1895065.101
904	227034.7989	1895065.101
905	227134.7989	1895065.101
906	227234.7989	1895065.101
907	227334.7989	1895065.101
908	227434.7989	1895065.101
909	227534.7989	1895065.101
910	227634.7989	1895065.101
911	227734.7989	1895065.101
912	227834.7989	1895065.101
913	227934.7989	1895065.101
914	228034.7989	1895065.101
915	228134.7989	1895065.101
916	228234.7989	1895065.101
917	228334.7989	1895065.101
918	228434.7989	1895065.101
919	228534.7989	1895065.101
920	228634.7989	1895065.101
921	228734.7989	1895065.101
922	228834.7989	1895065.101
923	228934.7989	1895065.101
924	229034.7989	1895065.101
925	229134.7989	1895065.101
926	229234.7989	1895065.101
927	229334.7989	1895065.101
928	229434.7989	1895065.101
929	229534.7989	1895065.101
930	229634.7989	1895065.101
931	229734.7989	1895065.101
932	229834.7989	1895065.101
933	229934.7989	1895065.101
934	230034.7989	1895065.101
935	230134.7989	1895065.101
936	230234.7989	1895065.101
937	230334.7989	1895065.101
938	230434.7989	1895065.101
939	230534.7989	1895065.101
940	230634.7989	1895065.101
941	230734.7989	1895065.101
942	230834.7989	1895065.101
943	230934.7989	1895065.101
944	231034.7989	1895065.101
945	231134.7989	1895065.101
946	231234.7989	1895065.101
947	231334.7989	1895065.101
948	231434.7989	1895065.101
949	224134.7989	1895165.101
950	224234.7989	1895165.101
951	224334.7989	1895165.101
952	224434.7989	1895165.101
953	224534.7989	1895165.101
954	224634.7989	1895165.101
955	224734.7989	1895165.101
956	224834.7989	1895165.101
957	224934.7989	1895165.101
958	225034.7989	1895165.101
959	225134.7989	1895165.101
960	225234.7989	1895165.101
961	225334.7989	1895165.101
962	225434.7989	1895165.101
963	225534.7989	1895165.101
964	225634.7989	1895165.101
965	225734.7989	1895165.101
966	225834.7989	1895165.101
967	225934.7989	1895165.101
968	226034.7989	1895165.101
969	226134.7989	1895165.101
970	226234.7989	1895165.101
971	226334.7989	1895165.101
972	226434.7989	1895165.101
973	226534.7989	1895165.101
974	226634.7989	1895165.101
975	226734.7989	1895165.101
976	226834.7989	1895165.101
977	226934.7989	1895165.101
978	227034.7989	1895165.101
979	227134.7989	1895165.101
980	227234.7989	1895165.101
981	227334.7989	1895165.101
982	227434.7989	1895165.101
983	227534.7989	1895165.101
984	227634.7989	1895165.101
985	227734.7989	1895165.101
986	227834.7989	1895165.101
987	227934.7989	1895165.101
988	228034.7989	1895165.101
989	228134.7989	1895165.101
990	228234.7989	1895165.101
991	228334.7989	1895165.101
992	228434.7989	1895165.101
993	228534.7989	1895165.101
994	228634.7989	1895165.101
995	228734.7989	1895165.101
996	228834.7989	1895165.101
997	228934.7989	1895165.101
