CellNum	LandUse	SoilClass
216	Scrub	Alfisols 2
217	Scrub	Alfisols 2
218	Scrub	Alfisols 2
219	Scrub	Alfisols 1
220	Scrub	Alfisols 1
221	Scrub	Alfisols 1
222	Scrub	Alfisols 1
223	Scrub	Alfisols 1
224	Scrub	Alfisols 1
225	Scrub	Alfisols 1
226	Scrub	Entisols
227	PaddyK	Alfisols 1
228	Scrub	Alfisols 1
229	Scrub	Alfisols 1
230	Scrub	Alfisols 1
231	PaddyR	Alfisols 1
232	Scrub	Alfisols 1
233	Scrub	Alfisols 1
234	Scrub	Alfisols 1
235	Scrub	Alfisols 1
236	Scrub	Inceptisols
237	Scrub	Alfisols 1
238	Scrub	Inceptisols
239	Scrub	Inceptisols
240	Scrub	Inceptisols
241	Scrub	Inceptisols
242	Scrub	Inceptisols
243	Scrub	Inceptisols
244	Scrub	Inceptisols
245	Scrub	Alfisols 1
246	Scrub	Alfisols 1
247	Scrub	Alfisols 2
248	Scrub	Alfisols 2
249	Scrub	Alfisols 2
250	Scrub	Entisols
251	Scrub	Alfisols 2
252	Scrub	Alfisols 2
253	Scrub	Alfisols 2
254	Scrub	Alfisols 2
255	Scrub	Alfisols 1
256	Scrub	Alfisols 1
257	Scrub	Alfisols 1
258	Scrub	Alfisols 1
259	Scrub	Alfisols 1
260	Scrub	Alfisols 1
261	Scrub	Alfisols 1
262	Scrub	Entisols
263	Scrub	Entisols
264	Scrub	Entisols
265	Scrub	Alfisols 1
266	PaddyR	Alfisols 1
267	PaddyR	Alfisols 1
268	Scrub	Inceptisols
269	Scrub	Alfisols 1
270	Scrub	Alfisols 1
271	Scrub	Inceptisols
272	Scrub	Alfisols 1
273	Scrub	Alfisols 1
274	Scrub	Inceptisols
275	Scrub	Inceptisols
276	Scrub	Inceptisols
277	Scrub	Inceptisols
278	Scrub	Inceptisols
279	Scrub	Inceptisols
280	Scrub	Inceptisols
281	Scrub	Inceptisols
282	Scrub	Inceptisols
283	Scrub	Inceptisols
284	Scrub	Inceptisols
285	Scrub	Inceptisols
286	Scrub	Inceptisols
287	Scrub	Inceptisols
288	Scrub	Inceptisols
289	Scrub	Inceptisols
290	Scrub	Alfisols 1
291	Scrub	Alfisols 1
292	Scrub	Alfisols 2
293	Scrub	Alfisols 2
294	Scrub	Alfisols 2
295	Scrub	Alfisols 2
296	Scrub	Alfisols 2
297	Scrub	Alfisols 2
298	Scrub	Entisols
299	Scrub	Alfisols 2
300	Scrub	Alfisols 2
301	Scrub	Alfisols 2
302	Scrub	Alfisols 2
303	Scrub	Alfisols 1
304	Scrub	Alfisols 1
305	Scrub	Alfisols 1
306	Scrub	Alfisols 1
307	Scrub	Alfisols 1
308	Scrub	Alfisols 1
309	PaddyR	Entisols
310	Scrub	Entisols
311	Scrub	Alfisols 1
312	Scrub	Alfisols 1
313	Scrub	Inceptisols
314	Scrub	Inceptisols
315	Scrub	Inceptisols
316	Scrub	Inceptisols
317	Scrub	Inceptisols
318	Scrub	Alfisols 1
319	Scrub	Alfisols 1
320	Scrub	Inceptisols
321	Scrub	Alfisols 1
322	Scrub	Inceptisols
323	Scrub	Inceptisols
324	Scrub	Inceptisols
325	Scrub	Inceptisols
326	Scrub	Inceptisols
327	Scrub	Inceptisols
328	Scrub	Inceptisols
329	Scrub	Inceptisols
330	Scrub	Inceptisols
331	Scrub	Inceptisols
332	Scrub	Inceptisols
333	Scrub	Inceptisols
334	Scrub	Inceptisols
335	Scrub	Inceptisols
336	Scrub	Inceptisols
337	Scrub	Inceptisols
338	Scrub	Inceptisols
339	Scrub	Alfisols 1
340	Scrub	Inceptisols
341	Scrub	Inceptisols
342	Scrub	Inceptisols
343	Scrub	Inceptisols
344	Scrub	Inceptisols
345	Scrub	Alfisols 1
346	Scrub	Alfisols 1
347	Scrub	Alfisols 1
348	Scrub	Alfisols 2
349	Scrub	Alfisols 2
350	Scrub	Alfisols 2
351	Scrub	Alfisols 2
352	Scrub	Alfisols 2
353	Scrub	Alfisols 2
354	Scrub	Alfisols 2
355	Scrub	Alfisols 2
356	Scrub	Alfisols 2
357	Scrub	Alfisols 2
358	Scrub	Alfisols 2
359	Scrub	Alfisols 1
360	Scrub	Alfisols 1
361	Scrub	Alfisols 1
362	Scrub	Alfisols 1
363	Scrub	Alfisols 1
364	Scrub	Alfisols 1
365	Tank	Entisols
366	Scrub	Entisols
367	Scrub	Alfisols 1
368	Scrub	Inceptisols
369	Scrub	Inceptisols
370	Scrub	Alfisols 1
371	Scrub	Alfisols 1
372	Scrub	Inceptisols
373	Scrub	Inceptisols
374	Scrub	Alfisols 1
375	Scrub	Alfisols 1
376	Scrub	Alfisols 1
377	Scrub	Inceptisols
378	Scrub	Alfisols 1
379	Scrub	Alfisols 1
380	Scrub	Inceptisols
381	Scrub	Inceptisols
382	Scrub	Alfisols 1
383	Scrub	Inceptisols
384	Scrub	Inceptisols
385	Scrub	Inceptisols
386	Scrub	Inceptisols
387	Scrub	Inceptisols
388	Scrub	Alfisols 1
389	Scrub	Inceptisols
390	Scrub	Inceptisols
391	Scrub	Alfisols 1
392	Scrub	Alfisols 1
393	Scrub	Inceptisols
394	Scrub	Inceptisols
395	Scrub	Inceptisols
396	Scrub	Inceptisols
397	Scrub	Inceptisols
398	Scrub	Alfisols 1
399	Scrub	Inceptisols
400	Scrub	Inceptisols
401	Scrub	Inceptisols
402	Scrub	Alfisols 1
403	Scrub	Alfisols 1
404	Scrub	Inceptisols
405	Scrub	Inceptisols
406	Scrub	Alfisols 1
407	Scrub	Alfisols 2
408	Scrub	Entisols
