CellNumber	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
3	339.665225365	229.422588539	57.6737139446	320.873643793	35.9007096567	60.1166198396	64.3392379299	30.2924594651	105.65855273	41.8268810494	245.568170885	61.7760224371	106.526498345	67.9388926748	79.4314238957	305.195359864	57.6708654663	60.9990050512	371.019459872	61.4826781786	45.6897356191
16	385.346223283	281.095723513	91.793879406	362.772120292	58.6735566778	93.8916047009	100.509265563	51.7204349754	155.916935895	68.6126570884	296.970576128	95.9862787059	167.092487947	110.221245466	122.004861038	348.154920024	91.1523741506	98.8115195672	437.651010455	101.011825406	70.5208949264
17	294.513754263	116.050955621	12.0993335745	248.34334509	8.3532348695	11.6526754786	13.1619459525	8.23365193781	25.1962400051	9.86807133698	141.733785328	11.7080634544	21.1594920295	15.5016851038	19.4352511278	202.060048626	11.8064466126	13.721096521	360.298805374	14.5888990668	8.40707795543
27	209.508666452	81.3062288734	0.0	189.555612909	0.0	0.0	0.500046998923	0.0	7.07046520825	0.0	101.422887516	0.0	0.0935638899234	0.095488659774	3.78630910859	169.18226119	0.0360650338401	0.0	176.273607279	0.0	0.0
28	161.019347264	47.2213853044	0.0	145.78949005	0.0	0.0	0.0	0.0	0.243220158996	0.0	63.3837630259	0.0	0.0	0.0	0.0	132.075362669	0.0	0.0	93.0987075404	0.0	0.0
29	247.662267779	86.3341767849	8.89793578194	204.897402917	6.76657069978	12.1507145274	11.6368626741	3.72025104923	15.6368484887	7.05958020924	101.95107737	11.8064844721	21.1763595945	11.5027922192	11.4907428857	156.153646002	10.6887042724	11.2375754788	330.33599994	11.0377863356	8.74469940669
30	308.396854321	191.70301216	54.091659178	281.659149656	34.1950049561	57.2218884347	61.0028556386	27.8862117638	93.1686637746	38.6568748312	200.64618506	57.8404082837	98.7234867152	64.6951757666	71.5316420037	253.814066559	54.7185506061	58.2047301698	374.408252557	56.4689225229	43.1089362468
31	288.85985218	132.848166976	9.1579442123	255.847395103	5.46139253593	9.16280605522	10.4430329464	5.04969475041	26.9342792235	6.90285688867	158.976875271	9.85443547485	17.5557669769	10.4432155662	17.9637022908	223.357888269	8.90815136123	9.23203919167	319.298355135	10.3083682139	7.13772175072
32	251.818852212	145.782684268	0.0	245.897029603	0.0	0.0	1.70528848351	0.0	23.4525435389	0.0	170.066703892	0.0	0.31907685538	0.325640814101	12.9122849088	236.361311749	0.122991012839	0.0	212.193394871	0.0	0.0
34	253.206960751	141.505310886	0.0	244.181773847	0.0	0.0	1.60459525877	0.0	22.0881851647	0.0	165.766065838	0.0	0.300236126776	0.306412499364	12.1498452285	231.68229998	0.115728686367	0.0	221.73065863	0.0	0.0
39	257.85340569	125.67109977	28.8368569723	233.164882632	17.9503548284	30.0583099198	31.8177340398	15.1462297326	48.1880717996	20.9134405247	141.547358681	30.8880112185	53.1974079164	33.9022506139	37.0775907277	207.637691959	28.8100536353	30.4995025256	260.782528895	30.7413390893	22.8448678096
40	159.543200587	51.6372752021	0.0	148.172298943	0.0	0.0	0.100538550048	0.0	1.6069552808	0.0	67.9006566847	0.0	0.018811787392	0.0191987781556	0.761268498024	138.265918256	0.007251170825	0.0	78.5517741608	0.0	0.0
41	205.062616767	61.0890041625	0.0	172.303178758	0.0	0.0	0.100538550048	0.0	1.63915860459	0.0	79.9485541759	0.0	0.018811787392	0.0191987781556	0.761268498024	139.413720059	0.007251170825	0.0	217.848677732	0.0	0.0
42	245.712325287	65.4241713249	0.0	195.697264574	0.0	0.0	0.0	0.0	0.308640897643	0.0	86.6512408073	0.0	0.0	0.0	0.0	140.4683644	0.0	0.0	333.212683938	0.0	0.0
43	270.435862493	93.6233410383	0.0	231.154107096	0.0	0.0	0.469179900224	0.0	6.70436344149	0.0	117.540897426	0.0	0.0877883411627	0.0895942980596	3.55258632411	180.401535008	0.0338387971833	0.0	330.708925682	0.0	0.0
44	298.614275076	105.067266472	0.0	243.436999053	0.0	0.0	0.684252198711	0.0	13.3759497004	0.0	133.281176518	0.0	2.19353244537	0.305584567331	4.50071016775	202.175927359	0.036255854125	0.0730058025705	344.010811905	0.0	0.0
45	271.684091744	111.812903297	0.0	237.814932165	0.0	0.0	0.854577675409	0.0	11.9359468955	0.0	136.606479389	0.0	0.159900192832	0.163189614323	6.4707822332	201.474430749	0.0616349520125	0.0	303.815018174	0.0	0.0
46	270.19080663	97.4950902741	0.0	228.226159132	0.0	0.0	0.552962025265	0.0	7.84204759721	0.0	121.728626089	0.0	0.103464830656	0.105593279856	4.18697673913	184.2339991	0.0398814395375	0.0	324.712260168	0.0	0.0
47	319.636322013	195.410678163	49.0693727317	296.136619749	33.5492552299	57.0201706916	59.9215737388	23.0865150425	87.4956024998	34.5777705843	193.15663441	54.9182657986	92.8308865733	62.1524954474	66.925820625	258.711729426	53.1323948534	57.0125415535	399.517536494	50.5355888633	41.6223817216
48	294.315220735	78.4014547278	0.0	231.803401571	0.0	0.0	0.0	0.0	0.370369077172	0.0	103.939063535	0.0	0.0	0.0	0.0	167.95584433	0.0	0.0	399.484783248	0.0	0.0
49	294.315220735	78.4014547278	0.0	231.803401571	0.0	0.0	0.0	0.0	0.370369077172	0.0	103.939063535	0.0	0.0	0.0	0.0	167.95584433	0.0	0.0	399.484783248	0.0	0.0
52	292.146158257	118.622316389	15.2520544217	247.157009606	9.28451098533	16.2251462862	16.6055005383	8.27439589908	29.888244604	11.5049189321	143.834226008	17.2209894683	31.4556835838	17.6450621847	21.443427956	206.677678181	15.1923666293	15.92449624	346.795272154	17.9178516278	12.3282861648
53	129.489603831	64.0243589754	9.91634606968	126.414555767	8.07259583401	15.167880447	13.6382368624	4.14693665624	18.8371991944	9.51068076051	71.6548383582	15.3867753852	33.0065179179	13.6657244289	12.1526074441	116.597874445	12.9209952337	14.8147518418	102.079135637	15.6135999556	10.7723115577
54	268.905156015	80.0074218562	0.0	219.386318465	0.0	0.0	0.172351800082	0.0	2.68044241785	0.0	103.766358128	0.0	0.0322487783863	0.0329121911239	1.3050317109	166.812226697	0.0124305785571	0.0	339.731993116	0.0	0.0
55	274.247421109	101.446171097	12.589008515	227.018428393	8.06099422792	13.4818383382	14.4774777647	6.3873124868	22.8260649396	8.88474371451	120.270006647	13.4421300413	22.7721918835	15.2767299433	17.2088755433	177.596533086	12.8690762161	13.7409854715	358.379754445	12.9082299872	10.0832661349
56	179.131670807	115.68303512	23.1381408293	169.71806583	18.836056946	35.3917210431	31.9230912289	9.67618553124	45.1115300135	22.1915884412	120.364171479	35.9024758988	77.0340202626	31.9058891122	29.1173525342	154.589706866	30.1562400495	34.5677542976	226.337720451	36.4317332296	25.1353936347
57	312.29442691	155.510985108	34.6896970329	269.602810594	22.1476353928	37.9561683155	38.76419207	17.9418403463	59.5672311917	26.5002792018	176.501819633	39.5597925441	70.1918355833	40.4782107509	44.790724066	232.572105605	35.6122621238	37.2380123859	389.933571166	40.0695172238	28.8468545414
58	293.966794135	116.148488805	0.222229716069	249.699600472	0.192159006142	1.10943271526	3.66720046069	0.06810171562	19.683525184	0.389592356483	145.431963458	0.114667271513	6.13677184129	3.37133123877	9.05877424657	215.096892441	1.59153803453	2.56789290236	331.437075398	0.0503975162416	0.103434860108
59	249.426228786	98.6618014386	13.5034347676	204.023503953	8.95961960055	15.8725120479	15.4226209156	6.81399809382	26.403291084	11.1353024898	120.080348858	16.8665598121	31.9997378516	15.6520313175	17.5407094415	169.401977225	14.4425844614	14.8615028131	311.393655995	17.4840436072	12.0628700282
60	197.491384946	114.124468592	26.3004113531	195.096255176	17.8354133517	30.607334806	31.9611080971	13.2013105806	49.1487421275	20.4211297563	118.760253132	30.6204121381	60.8527422228	34.5691633639	34.7284586695	158.214143037	28.6199031755	33.5470945287	248.978276753	30.3922735944	22.2421526786
61	294.475375056	79.4128008887	0.0	231.318312751	0.0	0.0	0.0778111922016	0.0	3.01871580098	0.0	105.563986393	0.0	0.899774360749	0.0898245756657	0.297586147555	170.168716747	0.0	0.0312882011016	389.542631944	0.0	0.0
62	272.07375259	72.4099862057	0.0	219.090820244	0.0	0.0	0.0	0.0	0.341129413185	0.0	95.8115001075	0.0	0.0	0.0	0.0	155.812843633	0.0	0.0	368.628895714	0.0	0.0
65	312.064526728	144.233696171	20.3235233031	269.342570022	13.1906047135	20.3930989167	23.3764838388	12.6036485204	46.6936870606	16.1203353427	173.241326311	20.6054792408	40.4212111098	26.2344002357	32.5251234485	235.486366158	20.4578249867	23.144343342	355.209387091	23.6555095173	14.8688397551
66	274.39419605	217.575556498	73.3894747004	258.946983505	49.832044971	89.835811141	85.7223217024	36.4125790439	124.251111727	60.0860108409	227.053251181	93.6428483405	177.388633938	88.9455535954	90.6369627382	268.179483529	80.8051157797	85.5876142784	298.912823907	95.350948072	66.5411586336
67	281.009959168	180.060112961	50.2424334862	259.186023767	33.0716955136	57.7302111997	57.7199471003	25.1959575289	86.4479704099	38.5845453456	192.303088127	59.3361637937	106.439700996	59.9209667068	64.7761062571	245.35031325	53.167870422	55.7332718024	312.125469698	59.3479115578	43.2191217347
68	363.862783288	269.543723731	101.325812341	350.412861155	63.7470300606	106.696483817	112.914997233	52.5454642179	164.576835175	72.7491612797	269.055146067	108.40608832	185.447072425	120.430096997	128.396786247	318.632197589	102.060324032	108.446349736	456.578901246	106.481110812	80.6017519442
69	51.0242610035	32.3728936692	5.8451925612	90.195578692	4.94666409745	9.21338404991	8.64229744112	2.41904638281	12.6564869048	5.66487981295	30.643922477	9.06653797441	21.3015639834	9.07165460115	7.64544793805	48.206886256	7.92334993003	10.0932411209	60.6509624429	9.1079333074	6.3118532257
70	255.908773504	124.638341865	17.7102884255	224.293512815	12.3970715288	21.9337410243	23.5290480948	8.49483167273	39.892540235	13.935151161	139.526280822	21.2707819408	43.620956357	24.6643890514	27.0008079355	193.753798084	20.4454112743	23.6606373543	313.907111318	20.7402287231	15.5451434727
71	277.021838567	170.879481023	0.555574290173	272.799996716	0.480397515356	2.77358178814	9.08119304627	0.17025428905	43.4724536486	0.973980891207	202.811435915	0.286668178783	13.1126491878	8.22433677721	22.7186150669	277.518696307	3.98661419793	6.34151175315	223.640230521	0.125993790604	0.25858715027
72	304.053048545	150.841507437	19.190340816	263.368982576	12.4790961729	19.6992581978	23.6669685439	11.866047428	52.7844386444	15.3281722143	181.128421286	19.4012529231	41.4364985026	26.3299922061	34.0700668098	243.617065305	19.9901973506	23.026933281	321.503564965	22.2324117744	14.0102200573
73	209.95350337	87.6186103515	14.7185430517	173.377514145	11.4977941086	21.8120823557	18.6916600242	6.22040498437	23.8141365659	13.9652084768	103.079000199	22.8463713643	44.2441035109	17.6700614551	16.7980990629	142.855148365	18.3886573097	18.4902069289	280.978443922	23.4203999333	16.08645495
74	252.270189201	67.2012469095	0.0	198.688629918	0.0	0.0	0.0	0.0	0.317459209005	0.0	89.0906258871	0.0	0.0	0.0	0.0	143.962152283	0.0	0.0	342.415528498	0.0	0.0
75	259.365271983	70.5245683397	0.0	200.710783466	0.0	0.0	0.112139659349	0.0	4.14353122888	0.0	94.0090657622	0.0	1.29673363755	0.12945306493	0.428874153829	150.761450737	0.0	0.0450918192347	337.776846231	0.0	0.0
79	268.288348329	110.63749987	10.0203301049	227.978105439	8.47999559562	15.794372657	14.944630892	4.14693665624	23.6970159241	9.71122253649	126.665984801	15.5426365276	36.5411534124	15.576092031	14.0852559627	184.541613759	13.5922085283	17.3026990644	349.662184928	15.6135999556	10.8203198155
80	184.090066925	124.975229027	31.5072744019	171.128088946	23.3075605233	41.4269255226	40.8004436307	14.2545001923	57.8897443855	25.6555464602	122.590926048	40.7912510409	80.4413317228	42.3062459068	40.8273268253	156.965719675	37.1313431488	42.2812600147	238.87173691	39.5596162784	29.6482853571
81	303.346353899	118.847707579	25.791761251	252.213707983	15.381064693	25.8054537882	26.8257137457	14.2215892971	40.1377998806	19.4406989926	144.237199965	27.753308072	48.9590406266	28.9178221972	31.0161756863	198.075968756	24.901804339	26.0004369072	402.48313412	29.0317308882	20.1021551347
82	172.106351976	119.34467907	37.3532070188	167.360455229	25.8524431654	46.2492454951	44.0446992621	18.3183752684	62.0559072128	31.6472522891	126.745363091	48.4218442027	93.7928983125	45.3066752196	44.8343282985	150.666944825	41.5937089901	44.6970752156	219.513381716	49.9040350575	34.4585499582
83	294.315220735	78.4014547278	0.0	231.803401571	0.0	0.0	0.0	0.0	0.370369077172	0.0	103.939063535	0.0	0.0	0.0	0.0	167.95584433	0.0	0.0	399.484783248	0.0	0.0
84	314.627945129	113.947342262	8.70836860836	253.942199082	5.22310106742	9.15653428702	10.8275896755	4.7745806235	26.4013188859	6.67502917577	143.832122052	9.30843632643	20.7256343788	11.4473344769	14.8251046818	210.677502933	9.09170899663	9.99769105522	380.501285515	9.70244238753	6.75243580828
85	269.69842283	103.661079281	0.0	231.644082641	0.0	0.0	0.68940720033	0.0	9.69257994218	0.0	128.046626933	0.0	0.128995113545	0.131648764496	5.22012684359	191.366750543	0.0497223142286	0.0	313.673488856	0.0	0.0
86	204.184196689	113.473579479	22.7020525811	183.332233628	17.3657394358	31.5721231733	29.6766304897	9.51397042658	41.094612592	18.7742299108	118.826623859	31.2284260656	57.133002471	28.9285171146	29.8858838365	160.847730524	27.5193915598	28.6385532672	257.620993892	29.882372649	22.8515504634
87	280.734412239	133.70891775	17.5991735675	246.142757634	12.3009920257	21.3790246667	22.1867769358	8.46078081492	37.7293290632	13.7403549828	149.848440468	21.2134483051	41.08711066	23.1100302216	26.0459221271	209.787623825	19.6822725257	22.3923350037	342.054542544	20.715029965	15.4934260427
88	353.63902359	178.875797743	39.2937988871	297.53844006	24.0285163079	40.6720503274	44.1240915096	21.0730141551	79.1057509944	29.1144105288	207.283476885	42.1122044939	78.6336675721	47.0442967687	53.7803163795	271.234729967	39.3621904703	41.9599141104	405.789156689	42.8394337926	30.8670790892
