CellNumber	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
3	368.096889547	349.046460703	64.6388941058	442.488314903	43.3746952895	135.412287438	32.0144657738	44.3702867751	153.676537036	71.7064778474	310.684845539	81.9474290667	69.3468450161	209.611629277	183.913396305	415.046912526	68.4456302248	58.2358646543	391.371481188	42.5000735976	73.7845788483
16	393.340954334	395.346213313	102.281504037	483.263489162	71.491480249	183.499496205	54.5070788737	71.1257073862	189.278182851	114.23461122	357.638812298	127.82749329	110.276541191	262.920253375	229.48003133	462.950968475	108.231211271	93.2286261991	431.669644303	70.8045339665	116.534885268
17	299.5065924	303.294709539	13.2400880947	419.051651145	10.4152745901	30.9982949638	8.61949282774	9.57930174431	54.3768631729	15.1000916802	212.793447273	15.7985241482	14.4966038418	108.319770429	110.517928581	310.89167523	13.9802437507	12.5065653289	307.479199235	10.609524455	14.996459277
27	273.764881199	196.302966268	0.0	298.333388401	0.0	14.5494997318	0.0	0.0	33.0176655229	0.0	174.400746821	0.0	0.0	66.0953017216	62.4756752655	271.013719749	0.0	0.0	248.568525676	0.0	0.0
28	236.478406114	134.427560524	0.0	229.645749586	0.0	0.0	0.0	0.0	1.03053597279	0.0	137.762729447	0.0	0.0	31.4756758296	28.4804527622	230.175105867	0.0	0.0	196.284170816	0.0	0.0
29	235.266021342	263.619574251	9.80227138808	363.861777842	8.0033792572	23.5701533612	5.43512071624	6.27540778576	27.9151305853	13.3944153446	164.306125423	15.951170347	14.1135576278	79.4290253308	84.23789153	252.404690369	12.0360884874	10.277589949	251.265203665	6.45677758428	13.8482108517
30	305.333346453	325.516607932	60.0618136019	410.858312275	40.6012783556	115.080000805	30.4417700828	41.4216311783	119.900457229	67.2629042811	261.821854692	76.3769829964	66.4908315428	174.543685488	160.17546448	354.962981754	64.4193930784	56.0369456999	334.522638885	37.520594679	68.0748638558
31	322.931762293	293.501207167	10.5206968525	406.01923697	6.92369407278	42.3024084013	4.89376965552	7.13355409096	75.2971845376	11.3816067821	229.707298206	13.2318248234	10.3490728921	120.821272216	114.742615244	331.364142713	10.7657556831	8.59983665148	324.190883493	7.81672823643	12.2306845203
32	339.327888727	249.65247006	0.0	348.668214183	0.0	49.6175247264	0.0	0.0	102.266921774	0.0	236.390501718	0.0	0.0	126.099789392	112.724695892	338.631101663	0.0	0.0	323.108657702	0.0	0.0
34	334.370246381	251.981818286	0.0	352.192766919	0.0	46.6877280282	0.0	0.0	97.1011511472	0.0	232.43268922	0.0	0.0	122.756262855	110.873751278	334.118467346	0.0	0.0	319.736896972	0.0	0.0
39	294.93940515	252.300179243	32.3194470529	355.13936649	21.6873476447	57.4676068709	16.0072328869	22.1851433876	59.6646923661	35.8532389237	216.189600334	40.9737145334	34.6734225081	110.552374633	100.658248475	316.427568231	34.2228151124	29.1179323271	290.058643906	21.2500367988	36.8922894242
40	244.527406122	130.653372043	0.0	225.634423439	0.0	2.92529624237	0.0	0.0	5.8860175959	0.0	143.171641582	0.0	0.0	34.4335829108	29.5551653115	237.232723322	0.0	0.0	201.154489521	0.0	0.0
41	234.187008759	199.855982602	0.0	298.815639721	0.0	2.92529624237	0.0	0.0	13.03433855	0.0	147.253456826	0.0	0.0	51.5764756583	54.8170580769	235.204764277	0.0	0.0	219.977501549	0.0	0.0
42	232.208046773	261.017264429	0.0	368.57118335	0.0	0.0	0.0	0.0	13.1679596523	0.0	152.485615312	0.0	0.0	61.9553452808	72.8036361563	238.22121303	0.0	0.0	244.125820463	0.0	0.0
43	287.17549327	286.932238703	0.0	403.926742824	0.0	13.6513824644	0.0	0.0	38.8803138129	0.0	191.900147188	0.0	0.0	85.3422816747	90.8857047585	289.968733926	0.0	0.0	298.94774793	0.0	0.0
44	302.740128392	301.258417951	0.0	416.111698474	0.0	22.3643884649	0.0	0.0	57.8231588913	0.0	204.568584895	0.335967214526	0.0	95.4927976342	99.1894422725	309.557828584	0.0	0.568951000105	308.082457044	0.0	0.0
45	304.578379743	277.876923741	0.0	390.515242535	0.0	24.8650180602	0.0	0.0	59.0606076125	0.0	207.958565624	0.0	0.0	99.9053338601	99.4921776323	307.578896281	0.0	0.0	302.48445386	0.0	0.0
46	284.773205796	278.920303278	0.0	392.690921697	0.0	16.089129333	0.0	0.0	43.283691918	0.0	192.627114189	0.0	0.0	88.4641451757	92.2775521994	289.15000462	0.0	0.0	286.924811169	0.0	0.0
47	311.518496946	348.688198757	53.1095081508	440.294429679	38.1953352466	117.672882211	29.0638577592	36.5070166716	117.04036369	63.7587925009	264.121867106	72.1390140129	67.3379296833	169.642845189	162.901352186	368.749774232	60.631074846	55.3102201619	345.651783501	29.0231049381	62.2710257432
48	272.016929837	309.03911691	0.0	436.520856072	0.0	0.0	0.0	0.0	15.8015515828	0.0	181.043241103	0.0	0.0	74.266966865	86.9903327696	278.711051097	0.0	0.0	284.351517431	0.0	0.0
49	272.016929837	309.03911691	0.0	436.520856072	0.0	0.0	0.0	0.0	15.8015515828	0.0	181.043241103	0.0	0.0	74.266966865	86.9903327696	278.711051097	0.0	0.0	284.351517431	0.0	0.0
52	302.22825109	295.351253108	17.5648626842	410.723675787	11.8798915644	38.1741996773	8.01689016182	11.6225935267	53.4116359652	19.5314024969	215.694305654	23.4284527102	18.0827402818	110.412503118	106.392254912	315.918520121	18.3478303339	14.5383497417	307.926839115	13.0894981627	21.6193886323
53	177.702000323	122.208912474	11.725017282	186.931983249	10.5462129489	32.7607924136	6.05519741893	6.73970502652	18.5239804283	19.182694338	116.46231913	24.2009073823	19.2581039509	52.7428254581	39.630856818	193.445793757	15.2316454589	12.5446695696	169.161734364	11.0416234541	19.4148117685
54	269.3674559	278.098439968	0.0	398.107146084	0.0	5.01479355835	0.0	0.0	22.667061016	0.0	177.860599827	0.0	0.0	73.2647101453	81.4735372529	274.619613825	0.0	0.0	273.330523562	0.0	0.0
55	262.45449816	288.784582383	13.8683273202	395.870570462	9.43376709924	28.8363000771	7.16626489337	9.60248313812	41.985533895	15.6563814138	188.124472644	17.6814241087	15.758895046	93.430812531	98.6866251065	279.700724226	15.0366649515	13.3194505675	276.08365234	8.27411889553	15.6226720681
56	182.046099684	194.20999594	27.3583736579	247.537621241	24.607830214	79.3671452073	14.1287939775	15.7259783952	51.7422305258	44.7596201219	147.269476199	56.468783892	44.9355758854	107.735084429	83.0528258882	225.051486414	35.5405060707	29.2708956624	214.045880975	25.7637880595	45.3012274599
57	304.682048659	321.881661114	39.4319890544	426.524804901	27.5027625642	76.2615338025	19.2175740318	26.3658254297	81.1264134115	45.448736486	239.362125573	53.2163096456	43.259926181	147.215021342	135.065321018	337.859974249	42.3559718399	34.4975380695	327.118563236	28.4712366991	48.2938121537
58	310.946531859	293.849749355	0.0	406.106536011	0.0	28.8283791562	0.481168361616	0.0772127756033	62.1467604324	2.1335662962	211.274017759	2.52361986315	2.60510454351	101.716039908	101.508620209	316.180467984	0.197263911683	2.92346215582	315.594944069	0.0	0.0
59	240.422005189	253.395134549	15.6870891788	344.317184144	11.5692010293	36.1029824529	7.45715803324	10.0665364102	45.9078746902	19.1075813584	172.262889062	23.2571583864	17.7855749506	94.468139461	90.4866168088	259.233260511	17.2126791042	13.3486076047	251.550772313	12.8589647653	21.1892729849
60	218.14175935	236.473457528	29.7633845694	303.520796114	21.8177676518	68.3423466799	15.2817900522	19.6695074857	61.6749003547	39.4381208699	169.346558953	46.4305739592	39.7802028336	102.740919701	93.6907055307	250.23494901	34.2884296932	31.387739482	266.863090977	21.1330836609	36.811945053
61	273.18850601	308.385506713	0.0	431.960911649	0.0	3.31624596557	0.0	0.0	22.4878395877	0.0	180.944056417	0.143985949082	0.0	74.9956133121	87.0364979174	280.203072117	0.0	0.243836142902	288.583184115	0.0	0.0
62	259.454797213	292.344240005	0.0	412.677616813	0.0	0.0	0.0	0.0	14.5540606684	0.0	170.32311178	0.0	0.0	68.5501358767	80.8116786893	264.461767507	0.0	0.0	277.743837074	0.0	0.0
65	325.258402954	314.812482011	22.609472939	423.32728303	16.4332926116	56.3423651047	13.0200158213	15.9209972706	83.8607131055	26.3050029739	238.038988463	29.0773543153	24.9726038197	133.166904964	126.675986279	341.881290664	23.6353905389	21.7058051761	339.132573556	17.5036853476	25.9231038601
66	282.115313095	262.19074296	84.8495775186	322.435044383	63.8022294952	167.804508474	40.7183533486	53.7144564821	117.831941915	107.170621735	256.622485466	131.375610013	103.266737283	207.583479391	152.220283733	355.909400943	95.7973279433	75.6758807954	309.267185273	67.408024913	116.835519802
67	296.691192736	280.837397228	56.9225505712	363.383133347	40.8862389501	113.337802486	28.0754338047	37.5670208609	102.043174805	67.6897806136	245.584274433	80.1742196032	65.7407679062	166.298495231	139.409388971	343.316331354	62.633262877	51.2401617201	313.573738621	40.6793594079	72.279544537
68	350.069013569	403.09928365	112.839681587	481.216944945	76.1019859025	194.366721164	56.7800426758	77.7053164727	176.273960467	125.992609624	334.103721648	143.353683951	123.699738829	248.419677709	220.999284126	433.946758145	120.539873061	104.136651526	423.610690165	71.659172488	128.181633711
69	119.721607705	114.978362727	6.90025076837	151.19512564	6.38960741445	22.8985711764	3.72422223935	3.93163691385	14.2428162518	12.5532011423	67.3063761495	15.7610227185	13.0526493821	28.4815773191	26.674625961	123.546974221	9.47985982861	8.76541650595	189.427446761	6.44094701488	11.325306865
70	257.20488571	266.110845839	19.7828279788	353.899985805	14.9105734545	56.8317690315	10.599039565	13.0110640235	63.259212272	27.4830512553	193.355537333	32.3806891101	28.2494325024	110.862055158	104.139752986	285.101063232	23.2608910461	22.1724777219	272.653563097	13.7949306226	25.3300779524
71	365.696490146	261.399046014	0.0	355.418368608	0.0	66.9145789507	1.20292090404	0.193031939008	119.642897896	5.33391574049	255.030667415	5.94908478517	6.51276135878	140.875389867	121.237206258	365.773644244	0.493159779207	6.69906503229	355.868438295	0.0	0.0
72	322.775841655	296.797581399	21.2252194938	393.39323514	15.4271726558	64.5772007446	12.4634561763	14.9848487235	98.0255089879	25.7612757359	236.484627033	28.6309110388	24.7462211638	136.454581396	125.893048706	340.036184261	22.2869577678	21.960527478	331.203140707	16.4320311426	24.3359750524
73	195.999365786	214.861480623	17.4315498701	292.560242464	15.2082197809	39.4003370728	8.58902078418	10.1091915868	27.9770146849	25.2684229337	142.010922302	32.0743780135	24.2103562986	86.2591394242	76.5556631164	221.21416976	21.3181539602	15.0943662649	209.388109481	16.5624351811	29.1222176528
74	235.151036535	264.890671637	0.0	374.160733776	0.0	0.0	0.0	0.0	13.544187071	0.0	155.179920945	0.0	0.0	63.65740017	74.5631423739	242.167376193	0.0	0.0	243.729872084	0.0	0.0
75	238.980190432	267.435017456	0.0	372.659666684	0.0	4.77929565626	0.0	0.0	23.5786664625	0.0	157.604552323	0.207509161913	0.0	66.4980005982	76.4376765795	247.443813873	0.0	0.351410911829	248.144583561	0.0	0.0
79	258.505240182	285.146086654	11.8290013172	387.20406784	10.9536127105	43.015788614	6.38438098174	6.73994899517	41.658412677	21.5197733868	188.003829313	27.0188960889	22.3759703693	100.774450633	96.098157884	285.887110015	16.2511882776	15.0264282959	280.445096234	11.0416234541	19.4148117685
80	174.243675132	199.028097916	35.4996000254	244.864737596	28.3907590669	87.9000517148	18.9857665914	22.617839919	65.7879421073	50.5705701452	152.014573307	60.6514905445	52.2484230431	111.507752846	94.2240938421	226.069334146	43.3239417165	38.6234688124	197.584546031	25.7725199339	48.8856946883
81	286.336836357	321.024639463	29.6297176663	435.071185928	19.499383307	43.9154917142	13.7824533156	20.0904176439	50.0648590431	32.0543211414	213.009301055	37.2651392986	29.1463685533	116.575919452	114.763547283	307.277236528	30.3198833524	24.2199481205	316.429797823	22.0144591149	34.445601302
82	179.931369246	191.511803419	43.5034588523	238.393484726	33.3844098162	87.699771344	21.1242576503	27.4202218711	60.3945911862	57.1375576452	150.898523008	69.6917584057	54.5523242669	116.810115895	90.40504326	221.8789333	49.6427777385	39.3432165835	221.953431873	36.445198134	60.7669438298
83	272.016929837	309.03911691	0.0	436.520856072	0.0	0.0	0.0	0.0	15.8015515828	0.0	181.043241103	0.0	0.0	74.266966865	86.9903327696	278.711051097	0.0	0.0	284.351517431	0.0	0.0
84	302.434971522	316.66196876	9.87657255545	431.631057902	6.49979443567	32.1465081802	4.83473528599	6.73541226911	58.0382381736	11.7515568619	211.308683449	13.8995019547	11.0180084562	105.267164998	106.836440884	315.589535708	10.20525974	9.90080133242	316.215958058	7.33815303829	11.4818671007
85	292.708636657	277.221952547	0.0	389.974460267	0.0	20.0591742334	0.0	0.0	50.3581634957	0.0	198.84434523	0.0	0.0	93.3452108232	95.1961115906	296.471782101	0.0	0.0	292.835318111	0.0	0.0
86	203.122067783	214.68002486	25.4150593995	280.473424642	21.076165108	65.2885459716	13.7332483606	15.9205461004	55.1449551009	35.2116383337	157.884707927	42.5938000318	36.2972340217	103.329796934	91.7411987745	238.766060472	31.1782282949	25.5866353196	217.99348116	18.4343668956	37.4038275877
87	286.268817772	293.971179321	19.7828279788	394.912090415	14.9105734545	57.2395355268	10.3584553842	12.9724576357	68.3044278085	26.4162681072	214.350406302	31.1908721531	26.9468802307	120.318947233	114.249471053	313.179893956	23.1622590903	20.8326647155	301.177504619	13.7949306226	25.3300779524
88	339.574982087	351.510551624	44.4042542571	452.429762215	29.5359243731	94.2457326075	21.6307461895	30.3509135692	116.398445221	49.7936833222	267.659897744	57.7468452576	47.1704787017	166.838401071	152.276521693	375.659159676	46.4021631818	40.4359434591	365.838695597	30.9195900523	51.1113623987
91	315.854711864	363.15791683	52.8863679048	473.397224259	35.488387055	88.4532456897	26.193653815	36.3029619069	89.4066058879	58.6689364206	259.060449631	67.0478965091	56.7383277405	160.381511391	153.198661395	358.85204527	56.0009701839	47.6475256262	349.540368046	34.772787489	60.3692008759
92	293.069151168	289.129201171	11.3486469383	407.380402553	8.92737822012	22.8088719431	7.38813670949	8.21083006655	40.3309255316	12.9429357259	202.5891828	13.5415921271	12.4256604358	94.703102724	98.1436065169	302.264441256	11.983066072	10.7199131391	295.538600675	9.09387810433	12.8541079517
93	191.64573231	193.239922422	5.81051662337	275.051953099	5.06940659363	13.1334456909	2.86300692806	3.36973052894	14.7003489708	8.42280764455	127.107691895	10.6914593378	8.0701187662	57.8603251705	58.4010741381	202.763811097	7.10605132008	5.03145542163	192.184623706	5.52081172704	9.70740588427
