Date	PET_mm	Rainfall_mm
2010-09-02	4.1	2
2010-09-03	4.9	0
2010-09-04	4.4	14.6
2010-09-05	2.3	7.3
2010-09-06	2	0.6
2010-09-07	2.3	18.2
2010-09-08	2.1	1.4
2010-09-09	2.2	14
2010-09-10	2.1	3.2
2010-09-11	4.2	0
2010-09-12	4.5	0
2010-09-13	5.1	0
2010-09-14	4	0.2
2010-09-15	2.1	7.1
2010-09-16	2.9	9
2010-09-17	2.7	11.5
2010-09-18	0.9	5.3
2010-09-19	2.4	0
2010-09-20	4	0
2010-09-21	3.8	0
2010-09-22	4.3	0
2010-09-23	4.8	18
2010-09-24	4.1	13.4
2010-09-25	1.9	0.6
2010-09-26	3.6	0
2010-09-27	3	3
2010-09-28	5.6	0
2010-09-29	3.3	0
2010-09-30	3.2	2.8
2010-10-01	4.1	0
2010-10-02	2.9	1.4
2010-10-03	2.4	0
2010-10-04	3.2	0
2010-10-05	2.7	0.2
2010-10-06	2.5	2.6
2010-10-07	3	0
2010-10-08	3.9	0
2010-10-09	2.9	0
2010-10-10	4	0
2010-10-11	4.1	0
2010-10-12	4.8	0
2010-10-13	4.6	0
2010-10-14	5.1	0
2010-10-15	4.8	0
2010-10-16	4.9	0
2010-10-17	1	14
2010-10-18	0.5	3.8
2010-10-19	1	0.2
2010-10-20	2.6	0
2010-10-21	2.4	22
2010-10-22	3.6	0
2010-10-23	2.6	0
2010-10-24	3.6	22.8
2010-10-25	2.6	0.1
2010-10-26	3.5	0
2010-10-27	4.2	0
2010-10-28	6	0
2010-10-29	4.6	0
2010-10-30	2.3	0
2010-10-31	2.6	41.8
2010-11-01	1.1	0.3
2010-11-02	1.3	0
2010-11-03	1.5	1.8
2010-11-04	1.3	0.2
2010-11-05	3.1	0
2010-11-06	1.8	3.6
2010-11-07	2.5	0
2010-11-08	1.9	1.4
2010-11-09	1.9	6.3
2010-11-10	3.2	1
2010-11-11	3	0
2010-11-12	3.3	0
2010-11-13	1.6	0
2010-11-14	2.5	0
2010-11-15	3.5	3.3
2010-11-16	3.4	0
2010-11-17	4	0
2010-11-18	2.5	0
2010-11-19	1.7	0
2010-11-20	2.6	0
2010-11-21	2.4	0
2010-11-22	3	0
2010-11-23	3.5	0
2010-11-24	4.5	0
2010-11-25	3.9	0
2010-11-26	4.1	0
2010-11-27	4.1	0
2010-11-28	3.8	0
2010-11-29	3.8	0
2010-11-30	3.7	0
2010-12-01	4	0
2010-12-02	3.5	0
2010-12-03	3.2	0
2010-12-04	3.9	0
2010-12-05	4.4	0
2010-12-06	5.4	0
2010-12-07	4.5	0
2010-12-08	2	8.9
2010-12-09	1.4	0.1
2010-12-10	2.6	0
2010-12-11	2.2	3.4
2010-12-12	1.9	0.1
2010-12-13	4.2	0
2010-12-14	2.8	0
2010-12-15	3.7	0
2010-12-16	3.5	0
2010-12-17	3.3	0
2010-12-18	3.2	0
2010-12-19	3.9	0
2010-12-20	4.2	0
2010-12-21	4.1	0
2010-12-22	3.1	0
2010-12-23	3	0
2010-12-24	2.3	0
2010-12-25	2.9	0
2010-12-26	4.4	0
2010-12-27	2.2	0
2010-12-28	4.5	0
2010-12-29	2.5	0
2010-12-30	3	0
2010-12-31	2.5	0
2011-01-01	3.2	0
2011-01-02	2.2	0
2011-01-03	2.9	0
2011-01-04	3.6	0
2011-01-05	2.7	0
2011-01-06	4.2	0
2011-01-07	3.7	0
2011-01-08	3.6	0
2011-01-09	3.1	0
2011-01-10	3.6	0
2011-01-11	4.2	0
2011-01-12	3.2	0
2011-01-13	4.1	0
2011-01-14	5.1	0
2011-01-15	4	0
2011-01-16	4.4	0
2011-01-17	3.9	0
2011-01-18	3.8	0
2011-01-19	4.3	0
2011-01-20	4.3	0
2011-01-21	5.3	0
2011-01-22	5	0
2011-01-23	4.7	0
2011-01-24	4.6	0
2011-01-25	4.5	0
2011-01-26	5	0
2011-01-27	4.9	0
2011-01-28	5.3	0
2011-01-29	5.1	0
2011-01-30	5.4	0
2011-01-31	5.4	0
2011-02-01	5.4	0
2011-02-02	5.7	0
2011-02-03	5.4	0
2011-02-04	5.3	0
2011-02-05	5.9	0
2011-02-06	5.7	0
2011-02-07	4.7	0
2011-02-08	6	0
2011-02-09	4.7	0
2011-02-10	6	0
2011-02-11	5.6	0
2011-02-12	6	0
2011-02-13	5.6	0
2011-02-14	5.7	0
2011-02-15	6.7	0
2011-02-16	7.6	0
2011-02-17	6	0
2011-02-18	4.2	0
2011-02-19	4.1	0
2011-02-20	5.3	0
2011-02-21	5.3	0
2011-02-22	4	0
2011-02-23	5.4	0
2011-02-24	4	0
2011-02-25	4.4	0.4
