CellNumber	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
3	456.48486859	390.915513719	64.6388941058	461.587294865	43.3746952895	226.399439608	32.0144657738	44.3702867751	219.452743796	72.1671939706	347.649645484	85.0824809506	69.3468450161	235.375362942	215.749666394	429.863912412	68.4456302248	59.9560827055	456.163869478	42.5000735976	73.7845788483
16	476.525614501	437.094470816	102.281504037	500.532009462	71.491480249	256.914867748	54.5070788737	71.1257073862	242.582429448	114.580148312	391.070539499	130.178782203	110.276541191	286.345322229	257.978764519	475.202924981	108.231211271	94.5187897376	499.67379523	70.8045339665	116.534885268
17	413.368350652	367.115993812	13.2400880947	440.677096705	10.4152745901	96.6917898056	8.61949282774	9.57930174431	102.84199324	15.3222226681	254.688790555	17.3100670208	14.4966038418	138.042171471	145.358056485	322.839990585	13.9802437507	13.3359561751	420.576077469	10.609524455	14.996459277
27	336.10120672	235.118186706	0.0	323.280225193	0.0	68.1080594354	0.0	0.0	76.2764505575	0.245513197182	213.205286634	1.67065264865	0.0	98.9254569638	97.6957345942	290.487265899	0.0	0.916695145738	297.623640498	0.0	0.0
28	265.098782416	164.935378959	0.0	256.356053239	0.0	9.5628265656	0.0	0.0	16.0918989049	0.0	172.494686853	0.0	0.0	66.0475664452	61.5865494671	250.903647215	0.0	0.0	224.104446276	0.0	0.0
29	337.382079006	324.859248372	9.80227138808	381.945469214	8.0033792572	53.6691176513	5.43512071624	6.27540778576	51.2035382884	13.3944153446	198.869101857	15.951170347	14.1135576278	104.423836908	112.551990643	261.670304025	12.0360884874	10.277589949	364.34878738	6.45677758428	13.8482108517
30	393.493300139	373.058835908	60.0618136019	427.081490231	40.6012783556	165.126307516	30.4417700828	41.4216311783	156.790676624	67.4356728273	293.250459634	77.5526274529	66.4908315428	196.829848417	186.336861371	365.345695947	64.4193930784	56.6820274691	418.55377524	37.520594679	68.0748638558
31	430.495823609	347.381184054	10.5206968525	428.379973791	6.92369407278	137.774354221	4.89376965552	7.13355409096	144.603995093	11.8323073373	272.997074079	16.2987234055	10.3490728921	151.148016867	151.658361737	347.281724838	10.7657556831	10.2826586581	411.814621905	7.81672823643	12.2306845203
32	429.634924965	281.925570653	0.0	370.908298617	0.0	193.053739784	0.0	0.0	204.981273251	0.837262954492	279.393792223	5.69735390436	0.0	155.547883913	151.009455165	361.267015568	0.0	3.12616549701	358.658307702	0.0	0.0
34	426.613548373	286.726862775	0.0	374.365355337	0.0	183.843923312	0.0	0.0	195.43105786	0.787824570512	275.311848181	5.36093872143	0.0	152.201188602	148.853257681	355.952599977	0.0	2.94157286766	361.399742324	0.0	0.0
39	357.237320748	298.354167726	32.3194470529	379.285968586	21.6873476447	85.337638858	16.0072328869	22.1851433876	85.7210365038	35.9108284391	253.410705159	41.3655960188	34.6734225081	142.465573504	133.953861184	332.454372267	34.2228151124	29.3329595835	355.713763284	21.2500367988	36.8922894242
40	268.974894756	158.166708862	0.0	252.966759635	0.0	18.2726716662	0.0	0.0	25.2538850206	0.0493624417614	178.436584587	0.33589841613	0.0	69.6781284377	63.492026593	259.14142722	0.0	0.184309076921	220.734372655	0.0	0.0
41	308.677184073	247.564964502	0.0	320.756409796	0.0	31.8932893346	0.0	0.0	38.0862701442	0.0493624417614	182.600678484	0.33589841613	0.0	80.9422077646	85.7402375536	250.340987214	0.0	0.184309076921	295.615744134	0.0	0.0
42	343.93639505	327.978157034	0.0	387.886117592	0.0	33.0319622317	0.0	0.0	38.5217353616	0.0	189.831794188	0.0	0.0	88.7063560046	103.286200936	247.753192135	0.0	0.0	368.468098161	0.0	0.0
43	399.934473649	351.838666081	0.0	426.595784675	0.0	80.0652012957	0.0	0.0	87.8258084752	0.230358061553	235.584378149	1.56752594194	0.0	116.129195045	127.78130052	303.405683318	0.0	0.860109025631	410.858296738	0.0	0.0
44	419.909184948	364.822494568	0.0	441.327811673	0.0	91.7410224439	0.0	0.0	111.533384566	0.556525524192	252.133034954	2.74016503662	0.0	127.176917003	136.56488598	319.761257723	0.0	2.30747440563	417.117930449	0.0	0.0
45	413.943922361	333.225574496	0.0	412.80864098	0.0	116.340221796	0.0	0.0	125.574030293	0.419580754972	251.12202413	2.8551365371	0.0	130.195457753	136.176768638	323.298847446	0.0	1.56662715383	393.792409885	0.0	0.0
46	398.063701724	340.151705719	0.0	414.349117546	0.0	87.9921088109	0.0	0.0	96.0797967403	0.271493429688	234.579237315	1.84744128871	0.0	118.141443407	127.368087796	302.566974172	0.0	1.01369992307	393.68951084	0.0	0.0
47	406.411540028	402.594096192	53.1095081508	457.55876081	38.1953352466	163.397244984	29.0638577592	36.5070166716	151.048395513	63.8821986053	297.575683904	72.9787600533	67.3379296833	193.470379113	190.498006049	378.079350311	60.631074846	55.7709928542	443.094682508	29.0231049381	62.2710257432
48	401.415298312	388.288657057	0.0	459.072828798	0.0	39.638354678	0.0	0.0	46.2260824339	0.0	224.765066789	0.0	0.0	105.688598736	122.389290724	287.436888815	0.0	0.0	433.022783289	0.0	0.0
49	401.415298312	388.288657057	0.0	459.072828798	0.0	39.638354678	0.0	0.0	46.2260824339	0.0	224.765066789	0.0	0.0	105.688598736	122.389290724	287.436888815	0.0	0.0	433.022783289	0.0	0.0
52	405.873620345	356.442187222	17.5648626842	433.351249087	11.8798915644	93.638418523	8.01689016182	11.6225935267	95.6066469763	19.7006451543	257.076957768	24.5801044226	18.0827402818	141.246583802	141.318317924	328.728985469	18.3478303339	15.1702665769	413.232560414	13.0894981627	21.6193886323
53	203.872651459	144.293830742	11.725017282	204.00912217	10.5462129489	39.0507513518	6.05519741893	6.73970502652	27.6267012358	19.182694338	140.164594559	24.2009073823	19.2581039509	73.747352745	61.2251740124	209.312621599	15.2316454589	12.5446695696	190.110735461	11.0416234541	19.4148117685
54	382.637245238	346.457762184	0.0	420.798307334	0.0	51.1161500706	0.0	0.0	58.0497967278	0.0846213287339	220.302136535	0.575825856223	0.0	103.945001403	116.277790951	286.252789663	0.0	0.315958417579	395.207934781	0.0	0.0
55	373.928924852	353.382911582	13.8683273202	415.242940312	9.43376709924	70.7956557619	7.16626489337	9.60248313812	73.63209931	15.7198474104	225.673325888	18.1132935008	15.758895046	120.305650522	129.350541814	289.634178649	15.0366649515	13.5564193807	395.374793494	8.27411889553	15.6226720681
56	234.841595571	222.68234875	27.3583736579	257.189518414	24.607830214	99.7331850856	14.1287939775	15.7259783952	66.9391091566	44.8089825637	165.6751662	56.8046823081	44.9355758854	120.610945496	98.8960180174	234.4372208	35.5405060707	29.4552047393	262.159251524	25.7637880595	45.3012274599
57	408.648326798	380.42285533	39.4319890544	445.493073761	27.5027625642	128.056774278	19.2175740318	26.3658254297	119.576598186	45.5968238113	276.116033535	54.2240048939	43.259926181	173.371282437	165.436080342	348.435357451	42.3559718399	35.0504653003	432.520433672	28.4712366991	48.2938121537
58	422.779298423	353.729195767	0.0	430.72433565	0.0	112.623292891	1.16148164188	0.0772127756033	122.000402393	7.84421989518	258.639704539	5.68441333332	2.89945967393	132.908373051	140.380905301	329.273864162	0.198156100453	4.93892308292	415.00680733	0.0	0.0
59	338.270004664	306.006894337	15.6870891788	362.013719083	11.5692010293	75.3088080931	7.45715803324	10.0665364102	76.3840426916	19.3249369651	206.007551507	24.1435724176	17.7855749506	117.685244437	117.23376223	269.043281914	17.2126791042	14.0146994598	346.505663726	12.8589647653	21.1892729849
60	281.282408179	277.717349139	29.7633845694	318.145303045	21.8177676518	91.4615743867	15.2817900522	19.6695074857	79.0471578741	39.4804315343	196.836784592	46.7184868874	39.7802028336	121.664081584	118.228177399	262.620035996	34.2884296932	31.5457186908	332.039212039	21.1330836609	36.811945053
61	399.268840942	385.633350991	0.0	455.571341308	0.0	41.584592967	0.0	0.0	52.9903849516	0.132734278022	226.079902845	0.454574123988	0.0	106.470545909	122.866448271	288.174495422	0.0	0.593969580441	431.187862219	0.0	0.0
62	379.730219468	367.370057733	0.0	434.602233417	0.0	36.5090108876	0.0	0.0	42.5766548733	0.0	212.607720374	0.0	0.0	98.7429723322	115.589886929	274.211820606	0.0	0.0	415.671653432	0.0	0.0
65	431.323689764	372.289147045	22.609472939	446.63799004	16.4332926116	132.206156687	13.3823565901	15.9209972706	139.222001236	29.541184822	282.637105879	31.7696394754	25.1293799218	162.93239036	163.308262024	354.365626705	23.6358657264	23.428517357	434.562733476	17.5036853476	25.9231038601
66	317.062760352	283.168717172	84.8495775186	335.244206457	63.8022294952	179.456710957	40.7183533486	53.7144564821	129.377079793	107.191777067	275.296101772	131.519566477	103.266737283	224.437085374	169.226988285	368.202445998	95.7973279433	75.7548703998	337.37035838	67.408024913	116.835519802
67	362.549460061	317.983335117	56.9225505712	380.602696075	40.8862389501	153.060578508	28.0754338047	37.5670208609	133.085733765	67.8378679389	274.843402283	81.1819148516	65.7407679062	189.381956115	164.912187343	356.558589405	62.633262877	51.7930889508	371.758518252	40.6793594079	72.279544537
68	422.387685816	452.106764299	112.839681587	496.933722776	76.1019859025	216.376225316	56.7800426758	77.7053164727	193.353280241	125.992609624	363.649551389	143.353683951	123.699738829	269.428986345	246.30381961	442.347844801	120.539873061	104.136651526	508.279868427	71.659172488	128.181633711
69	141.118846605	139.031227151	6.90025076837	163.238453576	6.38960741445	25.7298822248	3.72422223935	3.93163691385	16.4159970269	12.5532011423	88.6558464506	15.7610227185	13.0526493821	42.0523295541	48.8717859797	140.660016877	9.47985982861	8.76541650595	209.037945885	6.44094701488	11.325306865
70	350.157255716	315.791222959	19.7828279788	370.958879981	14.9105734545	106.982032039	10.9391962052	13.0110640235	99.0489566987	30.2614332497	226.524874456	33.7338135257	28.3966100676	133.73777948	131.674916739	296.618515174	23.2613371405	22.9656466645	360.317533064	13.7949306226	25.3300779524
71	450.891140681	292.379965254	0.0	380.491009962	0.0	225.00000468	2.90370410469	0.193031939008	226.533228352	19.3316023734	304.110061573	13.4344891835	7.24864918483	171.152591678	164.811582485	389.032378331	0.495390251134	11.0598577672	383.151255953	0.0	0.0
72	420.786098201	345.197846599	21.2252194938	416.809480047	15.4271726558	149.08873815	13.1437694566	14.9848487235	159.185794366	31.6469742772	280.962739389	32.390205612	25.0405762942	164.611109542	161.678307808	352.681858428	22.2878499566	24.4841010514	406.59907088	16.4320311426	24.3359750524
73	280.957456889	260.146932136	17.4315498701	305.447084022	15.2082197809	62.0508254602	8.58902078418	10.1091915868	45.3624608855	25.2684229337	166.994822694	32.0743780135	24.2103562986	104.214357636	96.7836390904	231.010472532	21.3181539602	15.0943662649	294.343118543	16.5624351811	29.1222176528
74	350.599992259	332.818848906	0.0	393.490996113	0.0	33.9757325811	0.0	0.0	39.6223563719	0.0	192.655771533	0.0	0.0	90.590227488	104.905106335	251.627299108	0.0	0.0	371.162385676	0.0	0.0
75	352.899145485	333.340297531	0.0	393.439530764	0.0	37.7798916618	0.0	0.0	50.536273423	0.191293518326	197.094733886	0.655121531629	0.0	93.6002169736	107.078358163	255.341295168	0.0	0.856014983576	370.026754664	0.0	0.0
79	360.860998936	345.680639603	11.8290013172	405.642810641	10.9536127105	82.5483062573	6.38438098174	6.73994899517	71.4422517134	21.5832393834	223.656971062	27.4507654811	22.3759703693	126.210930242	125.437734153	295.243222609	16.2511882776	15.2633971091	391.019248831	11.0416234541	19.4148117685
80	233.393201804	226.522836335	35.4996000254	252.688891399	28.3907590669	101.65213395	18.9857665914	22.617839919	76.3433915863	50.5705701452	167.183369973	60.6514905445	52.2484230431	122.409135332	106.505364969	235.321513563	43.3239417165	38.6234688124	249.164372961	25.7725199339	48.8856946883
81	398.19683554	391.317525973	29.6297176663	455.742766188	19.499383307	77.8912242953	13.7824533156	20.0904176439	76.143028344	32.0543211414	252.828556568	37.2651392986	29.1463685533	144.964991765	147.634339346	316.607838845	30.3198833524	24.2199481205	445.018312944	22.0144591149	34.445601302
82	227.371517092	217.785290257	43.5034588523	247.429695595	33.3844098162	98.0812451883	21.1242576503	27.4202218711	68.3629206948	57.1375576452	167.81742218	69.6917584057	54.5523242669	128.437495897	105.576797821	233.435585328	49.6427777385	39.3432165835	263.588481257	36.445198134	60.7669438298
83	401.415298312	388.288657057	0.0	459.072828798	0.0	39.638354678	0.0	0.0	46.2260824339	0.0	224.765066789	0.0	0.0	105.688598736	122.389290724	287.436888815	0.0	0.0	433.022783289	0.0	0.0
84	420.583583908	384.515156429	9.87657255545	456.342038935	6.49979443567	88.2207923268	5.17489192612	6.73541226911	100.820602688	14.7742520802	258.211408082	15.7298462561	11.1651860214	136.275599656	143.554374437	324.152674204	10.2057058344	11.3152475457	436.167380175	7.33815303829	11.4818671007
85	403.836074781	335.477627876	0.0	411.830517715	0.0	100.658960103	0.0	0.0	109.238989369	0.338485314936	241.170954101	2.30330342489	0.0	123.175050696	130.867295436	310.950967923	0.0	1.26383367032	392.01771603	0.0	0.0
86	277.882483393	250.673666283	25.4150593995	292.035676527	21.076165108	96.1570271224	13.7332483606	15.9205461004	78.092203075	35.2962596624	180.289098723	43.169625888	36.2972340217	119.283922663	110.231161938	249.97992592	31.1782282949	25.9025937372	282.99100457	18.4343668956	37.4038275877
87	388.204596219	349.182525466	19.7828279788	413.922466789	14.9105734545	117.018399106	10.3584553842	12.9724576357	112.323008697	26.6278214291	251.17731692	32.6304367937	26.9468802307	146.417219	144.942183124	325.077651569	23.1622590903	21.6225607594	398.438002616	13.7949306226	25.3300779524
88	444.09001497	409.059016548	44.4042542571	476.428968232	29.5359243731	152.219784337	21.9779894263	30.3509135692	161.405974151	53.0580430695	312.59203025	60.2262916079	47.3207224662	195.393793849	186.608073163	383.077120206	46.4026185699	42.3985556283	463.772840648	30.9195900523	51.1113623987
91	427.607848274	431.600701503	52.8863679048	492.873927977	35.488387055	122.686370184	26.193653815	36.3029619069	115.682337077	58.6689364206	296.820208179	67.0478965091	56.7383277405	187.51837528	183.770488719	366.387996026	56.0009701839	47.6475256262	477.938279469	34.772787489	60.3692008759
92	398.919519563	353.049982209	11.3486469383	430.587448944	8.92737822012	73.1186371645	7.38813670949	8.21083006655	79.1284548331	13.069867719	244.690568132	14.4053309114	12.4256604358	126.358701186	133.596365382	314.838196996	11.983066072	11.1938507654	406.708177212	9.09387810433	12.8541079517
