CellNumber	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
3	246.987025848	187.627551926	57.6737139446	266.71491326	35.9007096567	60.1166198396	63.4904701929	30.2924594651	97.5296752922	41.8268810494	204.472351829	61.7760224371	106.350921662	67.8080289933	74.3651901783	272.74307538	57.6031878719	60.9990050512	219.60107597	61.4826781786	45.6897356191
16	293.511781311	243.044752407	91.793879406	311.131438365	58.6735566778	93.8916047009	99.8726897606	51.7204349754	149.771924076	68.6126570884	259.284993666	95.9862787059	166.960805436	110.123097704	118.20518575	318.741345658	91.1016159549	98.8115195672	280.93682857	101.011825406	70.5208949264
17	155.674495105	67.6239035928	12.0993335745	175.749284776	8.3532348695	11.6526754786	12.7527186508	8.23365193781	21.0730363617	9.86807133698	92.9731979151	11.7080634544	21.0748389862	15.4385901145	16.9926027284	165.01318079	11.7738163439	13.721096521	105.314268097	14.5888990668	8.40707795543
27	118.059453634	40.0025634509	0.0	135.653451685	0.0	0.0	0.0477431391039	0.0	2.60527137487	0.0	58.8111986618	0.0	0.0	0.0257520926314	1.086539825	132.300639696	0.0	0.0	61.9249395378	0.0	0.0
28	83.6442726549	12.530114312	0.0	99.936943686	0.0	0.0	0.0	0.0	0.0	0.0	25.669508156	0.0	0.0	0.0	0.0	96.5404541257	0.0	0.0	28.8130702558	0.0	0.0
29	116.569849674	46.7245745955	8.89793578194	138.999963585	6.76657069978	12.1507145274	11.6368626741	3.72025104923	15.3519088767	7.05958020924	61.4009404331	11.8064844721	21.1763595945	11.5027922192	11.4907428857	125.641119614	10.6887042724	11.2375754788	79.4830808214	11.0377863356	8.74469940669
30	204.934733943	155.396127785	54.091659178	227.430463237	34.1950049561	57.2218884347	60.6845677372	27.8862117638	89.9715257312	38.6568748312	164.112108089	57.8404082837	98.6576454594	64.646101886	69.6318043596	226.028075331	54.6931715082	58.2047301698	184.830693296	56.4689225229	43.1089362468
31	170.314971845	83.5886039413	9.1579442123	189.101730464	5.46139253593	9.16280605522	9.61271668197	5.04969475041	18.9217302503	6.90285688867	110.202732642	9.85443547485	17.384007179	10.3151967473	13.0076040891	185.274004647	8.84194501891	9.23203919167	117.283579168	10.3083682139	7.13772175072
32	177.940671979	98.2216875934	0.0	194.149038817	0.0	0.0	0.162816346175	0.0	8.88464340661	0.0	124.449847396	0.0	0.0	0.0878212389737	3.70537940321	198.874738445	0.0	0.0	119.755516544	0.0	0.0
34	174.245061637	93.9159199054	0.0	190.826122001	0.0	0.0	0.153202428591	0.0	8.36002636736	0.0	119.938734863	0.0	0.0	0.0826356039105	3.48658557178	194.262255893	0.0	0.0	116.494072128	0.0	0.0
