Date	HH_basin	HH_CH18
14/07/2016	364.41	344.60
15/07/2016	364.41	344.60
16/07/2016	364.41	344.56
17/07/2016	364.41	344.59
18/07/2016	364.41	344.57
19/07/2016	364.41	344.55
20/07/2016	364.41	344.54
21/07/2016	364.41	344.53
22/07/2016	364.41	344.53
23/07/2016	364.41	344.58
24/07/2016	364.41	344.47
25/07/2016	364.41	344.50
26/07/2016	364.41	344.60
27/07/2016	365.25	344.57
28/07/2016	365.10	344.48
29/07/2016	364.99	344.51
30/07/2016	364.92	344.63
31/07/2016	364.83	344.60
01/08/2016	364.73	344.59
02/08/2016	364.65	344.66
03/08/2016	364.59	344.65
04/08/2016	364.53	344.69
05/08/2016	364.52	344.79
06/08/2016	365.23	344.82
07/08/2016	365.46	344.78
08/08/2016	365.28	344.79
09/08/2016	365.12	344.75
10/08/2016	365.00	344.73
11/08/2016	364.93	344.73
12/08/2016	364.85	344.78
13/08/2016	364.76	344.77
14/08/2016	364.69	344.81
15/08/2016	364.71	344.87
16/08/2016	364.82	344.82
17/08/2016	364.73	344.77
18/08/2016	364.67	344.86
19/08/2016	364.62	344.87
20/08/2016	364.56	344.88
21/08/2016	364.53	344.81
22/08/2016	364.49	344.86
23/08/2016	364.47	344.88
24/08/2016	364.44	344.89
25/08/2016	364.44	344.88
26/08/2016	364.60	344.93
27/08/2016	365.15	344.98
28/08/2016	365.54	344.95
29/08/2016	366.06	344.94
30/08/2016	366.69	344.88
31/08/2016	366.98	344.94
02/09/2016	367.01	345.26
03/09/2016	366.98	345.18
04/09/2016	366.94	345.17
05/09/2016	366.76	345.19
06/09/2016	366.51	345.32
07/09/2016	366.27	345.54
08/09/2016	366.08	345.73
09/09/2016	365.89	345.89
10/09/2016	365.71	346.07
11/09/2016	365.58	346.25
12/09/2016	366.04	346.40
13/09/2016	366.66	346.55
14/09/2016	367.02	347.48
15/09/2016	367.05	347.07
16/09/2016	367.01	347.39
17/09/2016	367.02	347.43
18/09/2016	367.03	347.59
19/09/2016	367.00	347.86
20/09/2016	367.00	348.42
21/09/2016	366.95	349.22
22/09/2016	366.94	350.04
23/09/2016	366.95	350.69
24/09/2016	366.85	351.30
25/09/2016	366.76	351.93
26/09/2016	366.66	352.46
27/09/2016	366.57	352.93
28/09/2016	366.48	353.34
29/09/2016	366.39	353.69
30/09/2016	366.30	353.97
01/10/2016	366.26	354.22
02/10/2016	366.25	354.49
03/10/2016	366.19	354.76
04/10/2016	366.12	355.00
05/10/2016	366.06	355.23
06/10/2016	365.99	355.44
07/10/2016	365.93	355.64
08/10/2016	365.91	355.82
09/10/2016	366.20	355.99
10/10/2016	366.49	356.16
11/10/2016	366.74	356.30
12/10/2016	366.80	356.44
13/10/2016	366.81	356.57
14/10/2016	366.87	356.69
15/10/2016	367.01	356.80
16/10/2016	367.05	356.89
17/10/2016	367.08	356.98
18/10/2016	367.07	357.06
19/10/2016	367.06	357.16
20/10/2016	367.06	357.31
21/10/2016	367.02	357.47
22/10/2016	366.89	357.61
23/10/2016	366.81	357.75
24/10/2016	366.71	357.85
25/10/2016	366.63	357.93
26/10/2016	366.55	357.98
27/10/2016	366.46	358.02
28/10/2016	366.38	358.06
29/10/2016	366.31	358.08
30/10/2016	366.35	358.10
31/10/2016	366.85	358.12
01/11/2016	366.86	358.14
02/11/2016	366.88	358.16
03/11/2016	366.78	358.18
04/11/2016	366.69	358.21
05/11/2016	366.60	358.22
06/11/2016	366.52	358.21
07/11/2016	366.46	358.21
08/11/2016	366.45	358.21
09/11/2016	366.48	358.21
10/11/2016	366.50	358.21
11/11/2016	366.49	358.21
12/11/2016	366.48	358.19
13/11/2016	366.46	358.17
14/11/2016	366.46	358.17
15/11/2016	366.47	358.18
16/11/2016	366.47	358.17
17/11/2016	366.44	358.17
18/11/2016	366.36	358.16
19/11/2016	366.28	358.18
20/11/2016	366.21	358.17
21/11/2016	366.15	358.16
22/11/2016	366.09	358.18
23/11/2016	366.02	358.19
24/11/2016	365.96	358.09
25/11/2016	365.90	358.13
26/11/2016	365.84	358.13
27/11/2016	365.78	358.12
28/11/2016	365.73	358.11
29/11/2016	365.67	358.08
30/11/2016	365.61	358.05
01/12/2016	365.56	358.05
02/12/2016	365.51	358.04
03/12/2016	365.46	358.01
04/12/2016	365.41	357.99
05/12/2016	365.37	357.98
06/12/2016	365.32	357.97
07/12/2016	365.28	357.96
08/12/2016	365.24	357.95
09/12/2016	365.20	357.95
10/12/2016	365.17	357.94
11/12/2016	365.14	357.92
12/12/2016	365.11	357.91
13/12/2016	365.09	357.89
14/12/2016	365.06	357.86
15/12/2016	365.04	357.85
16/12/2016	365.02	357.83
17/12/2016	365.00	357.83
18/12/2016	364.98	357.81
19/12/2016	364.96	357.80
20/12/2016	364.94	357.79
21/12/2016	364.92	357.77
22/12/2016	364.90	357.77
23/12/2016	364.88	357.77
24/12/2016	364.87	357.76
25/12/2016	364.85	357.74
26/12/2016	364.83	357.71
27/12/2016	364.82	357.69
28/12/2016	364.80	357.67
29/12/2016	364.78	357.65
30/12/2016	364.77	357.63
31/12/2016	364.75	357.61
01/01/2017	364.73	357.59
02/01/2017	364.72	357.58
03/01/2017	364.70	357.57
04/01/2017	364.69	357.55
05/01/2017	364.67	357.54
06/01/2017	364.86	357.53
07/01/2017	365.38	357.53
08/01/2017	366.06	357.52
09/01/2017	366.20	357.52
10/01/2017	366.17	357.50
11/01/2017	366.07	357.49
12/01/2017	366.20	357.48
13/01/2017	366.41	357.46
14/01/2017	366.59	357.43
15/01/2017	366.73	357.41
16/01/2017	366.81	357.41
17/01/2017	366.74	357.40
18/01/2017	366.59	357.39
19/01/2017	366.46	357.40
20/01/2017	366.34	357.40
21/01/2017	366.23	357.38
22/01/2017	366.14	357.37
23/01/2017	366.05	357.39
24/01/2017	365.95	357.38
25/01/2017	365.87	357.37
26/01/2017	365.78	357.37
27/01/2017	365.70	357.39
28/01/2017	365.62	357.38
29/01/2017	365.55	357.36
30/01/2017	365.48	357.35
31/01/2017	365.41	357.33
01/02/2017	365.35	357.30
02/02/2017	365.29	357.26
03/02/2017	365.24	357.24
04/02/2017	365.20	357.24
05/02/2017	365.15	357.23
06/02/2017	365.11	357.21
07/02/2017	365.07	357.19
08/02/2017	365.03	357.16
09/02/2017	364.98	357.14
10/02/2017	364.95	357.12
11/02/2017	364.92	357.08
12/02/2017	364.89	357.04
13/02/2017	364.86	356.99
14/02/2017	364.83	356.94
15/02/2017	364.81	356.90
16/02/2017	364.79	356.87
17/02/2017	364.76	356.81
18/02/2017	364.74	356.75
19/02/2017	364.72	356.70
20/02/2017	364.69	356.66
21/02/2017	364.67	356.60
22/02/2017	364.66	356.53
23/02/2017	364.64	356.46
24/02/2017	364.62	356.41
25/02/2017	364.62	356.35
26/02/2017	364.60	356.31
27/02/2017	364.58	356.25
28/02/2017	364.56	356.19
01/03/2017	364.55	356.14
02/03/2017	364.54	356.09
03/03/2017	364.52	356.05
04/03/2017	364.51	355.99
05/03/2017	364.49	355.94
