Date	HH_basin	HH_CH11
05/07/2016	364.88	347.24
06/07/2016	364.77	347.27
07/07/2016	364.68	347.29
08/07/2016	364.60	347.34
09/07/2016	364.55	347.38
10/07/2016	364.51	347.42
11/07/2016	364.44	347.44
12/07/2016	364.41	347.46
13/07/2016	364.41	347.48
14/07/2016	364.41	347.48
15/07/2016	364.41	347.50
16/07/2016	364.41	347.50
17/07/2016	364.41	347.49
18/07/2016	364.41	347.48
19/07/2016	364.41	347.47
20/07/2016	364.41	347.47
21/07/2016	364.41	347.47
22/07/2016	364.41	347.46
23/07/2016	364.41	347.45
24/07/2016	364.41	347.44
25/07/2016	364.41	347.42
26/07/2016	364.41	347.40
27/07/2016	365.25	347.41
28/07/2016	365.10	347.41
29/07/2016	364.99	347.40
30/07/2016	364.92	347.42
31/07/2016	364.83	347.44
01/08/2016	364.73	347.47
02/08/2016	364.65	347.51
03/08/2016	364.59	347.53
04/08/2016	364.53	347.55
05/08/2016	364.52	347.58
06/08/2016	365.23	347.59
07/08/2016	365.46	347.60
08/08/2016	365.28	347.62
09/08/2016	365.12	347.65
10/08/2016	365.00	347.69
11/08/2016	364.93	347.73
12/08/2016	364.85	347.78
13/08/2016	364.76	347.83
14/08/2016	364.69	347.85
15/08/2016	364.71	347.87
16/08/2016	364.82	347.88
17/08/2016	364.73	347.88
18/08/2016	364.67	347.88
19/08/2016	364.62	347.88
20/08/2016	364.56	347.88
21/08/2016	364.53	347.89
22/08/2016	364.49	347.88
23/08/2016	364.47	347.88
24/08/2016	364.44	347.88
25/08/2016	364.44	347.88
26/08/2016	364.60	347.88
27/08/2016	365.15	347.88
28/08/2016	365.54	347.88
29/08/2016	366.06	347.88
30/08/2016	366.69	347.88
31/08/2016	366.98	347.91
01/09/2016	367.04	347.98
02/09/2016	367.01	348.16
03/09/2016	366.98	348.19
04/09/2016	366.94	348.29
05/09/2016	366.76	348.43
06/09/2016	366.51	348.53
07/09/2016	366.27	348.67
08/09/2016	366.08	348.80
09/09/2016	365.89	348.92
10/09/2016	365.71	349.03
11/09/2016	365.58	349.13
12/09/2016	366.04	349.23
13/09/2016	366.66	349.31
14/09/2016	367.02	349.47
15/09/2016	367.05	349.57
16/09/2016	367.01	349.62
17/09/2016	367.02	349.68
18/09/2016	367.03	349.82
19/09/2016	367.00	349.99
20/09/2016	367.00	350.01
21/09/2016	366.95	350.12
22/09/2016	366.94	350.72
23/09/2016	366.95	351.33
24/09/2016	366.85	351.79
25/09/2016	366.76	352.27
26/09/2016	366.66	352.69
27/09/2016	366.57	353.23
28/09/2016	366.48	353.68
29/09/2016	366.39	353.98
30/09/2016	366.30	354.27
01/10/2016	366.26	354.51
02/10/2016	366.25	354.77
03/10/2016	366.19	355.04
04/10/2016	366.12	355.30
05/10/2016	366.06	355.53
06/10/2016	365.99	355.75
07/10/2016	365.93	355.94
08/10/2016	365.91	356.12
09/10/2016	366.20	356.28
10/10/2016	366.49	356.43
11/10/2016	366.74	356.57
12/10/2016	366.80	356.71
13/10/2016	366.81	356.85
14/10/2016	366.87	356.99
15/10/2016	367.01	357.11
16/10/2016	367.05	357.22
17/10/2016	367.08	357.33
18/10/2016	367.07	357.43
