Date	HH_basin	HH_CH02
05/07/2016	364.88	349.18
06/07/2016	364.77	349.32
07/07/2016	364.68	349.39
08/07/2016	364.60	349.43
09/07/2016	364.55	349.43
10/07/2016	364.51	349.40
11/07/2016	364.44	349.36
12/07/2016	364.41	349.30
13/07/2016	364.41	349.25
14/07/2016	364.41	349.21
15/07/2016	364.41	349.18
16/07/2016	364.41	349.14
17/07/2016	364.41	349.12
18/07/2016	364.41	349.07
19/07/2016	364.41	349.02
20/07/2016	364.41	348.97
21/07/2016	364.41	348.81
22/07/2016	364.41	348.84
23/07/2016	364.41	348.81
24/07/2016	364.41	348.77
25/07/2016	364.41	348.72
26/07/2016	364.41	348.68
27/07/2016	365.25	348.65
28/07/2016	365.10	348.65
29/07/2016	364.99	348.87
30/07/2016	364.92	349.14
31/07/2016	364.83	349.35
01/08/2016	364.73	349.53
02/08/2016	364.65	349.63
03/08/2016	364.59	349.68
04/08/2016	364.53	349.70
05/08/2016	364.52	349.68
06/08/2016	365.23	349.65
07/08/2016	365.46	349.73
08/08/2016	365.28	350.06
09/08/2016	365.12	350.37
10/08/2016	365.00	350.57
11/08/2016	364.93	350.69
12/08/2016	364.85	350.77
13/08/2016	364.76	350.79
14/08/2016	364.69	350.79
15/08/2016	364.71	350.75
16/08/2016	364.82	350.69
17/08/2016	364.73	350.64
18/08/2016	364.67	350.61
19/08/2016	364.62	350.58
20/08/2016	364.56	350.54
21/08/2016	364.53	350.48
22/08/2016	364.49	350.42
23/08/2016	364.47	350.36
24/08/2016	364.44	350.30
25/08/2016	364.44	350.23
26/08/2016	364.60	350.18
27/08/2016	365.15	350.12
28/08/2016	365.54	350.13
29/08/2016	366.06	350.45
30/08/2016	366.69	351.11
31/08/2016	366.98	352.43
01/09/2016	367.04	353.86
02/09/2016	367.01	355.09
03/09/2016	366.98	356.21
04/09/2016	366.94	357.66
05/09/2016	366.76	359.02
06/09/2016	366.51	359.69
07/09/2016	366.27	359.91
08/09/2016	366.08	359.86
09/09/2016	365.89	359.70
10/09/2016	365.71	359.50
11/09/2016	365.58	359.30
12/09/2016	366.04	359.18
13/09/2016	366.66	359.39
14/09/2016	367.02	360.04
15/09/2016	367.05	360.96
16/09/2016	367.01	361.94
17/09/2016	367.02	362.53
18/09/2016	367.03	362.97
19/09/2016	367.00	363.36
20/09/2016	367.00	363.68
21/09/2016	366.95	364.07
22/09/2016	366.94	364.55
23/09/2016	366.95	364.88
24/09/2016	366.85	365.03
25/09/2016	366.76	365.03
26/09/2016	366.66	365.00
27/09/2016	366.57	364.99
28/09/2016	366.48	364.95
29/09/2016	366.39	364.89
30/09/2016	366.30	364.82
01/10/2016	366.26	364.76
02/10/2016	366.25	364.82
03/10/2016	366.19	364.78
04/10/2016	366.12	364.71
05/10/2016	366.06	364.63
06/10/2016	365.99	364.53
07/10/2016	365.93	364.44
08/10/2016	365.91	364.36
09/10/2016	366.20	364.34
10/10/2016	366.49	364.42
11/10/2016	366.74	364.56
12/10/2016	366.80	364.69
13/10/2016	366.81	364.76
14/10/2016	366.87	364.83
15/10/2016	367.01	364.96
16/10/2016	367.05	365.24
17/10/2016	367.08	365.35
18/10/2016	367.07	365.39
19/10/2016	367.06	365.40
20/10/2016	367.06	365.41
21/10/2016	367.02	365.40
22/10/2016	366.89	365.38
23/10/2016	366.81	365.39
24/10/2016	366.71	365.42
25/10/2016	366.63	365.46
26/10/2016	366.55	365.47
27/10/2016	366.46	365.47
28/10/2016	366.38	365.44
29/10/2016	366.31	365.40
30/10/2016	366.35	365.35
31/10/2016	366.85	365.39
01/11/2016	366.86	365.38
02/11/2016	366.88	365.19
03/11/2016	366.78	365.16
04/11/2016	366.69	365.14
05/11/2016	366.60	365.09
06/11/2016	366.52	365.03
07/11/2016	366.46	364.96
08/11/2016	366.45	364.90
09/11/2016	366.48	364.88
10/11/2016	366.50	364.85
11/11/2016	366.49	364.83
12/11/2016	366.48	364.80
13/11/2016	366.46	364.77
14/11/2016	366.46	364.75
15/11/2016	366.47	364.74
16/11/2016	366.47	364.71
17/11/2016	366.44	364.61
18/11/2016	366.36	364.47
19/11/2016	366.28	364.42
20/11/2016	366.21	364.35
21/11/2016	366.15	364.27
22/11/2016	366.09	364.19
23/11/2016	366.02	364.12
24/11/2016	365.96	364.04
25/11/2016	365.90	363.98
26/11/2016	365.84	363.92
27/11/2016	365.78	363.86
28/11/2016	365.73	363.80
29/11/2016	365.67	363.73
30/11/2016	365.61	363.67
01/12/2016	365.56	363.67
02/12/2016	365.51	363.64
03/12/2016	365.46	363.57
04/12/2016	365.41	363.50
05/12/2016	365.37	363.45
06/12/2016	365.32	363.38
07/12/2016	365.28	363.31
08/12/2016	365.24	363.24
09/12/2016	365.20	363.17
10/12/2016	365.17	363.10
11/12/2016	365.14	363.02
12/12/2016	365.11	362.94
13/12/2016	365.09	362.86
14/12/2016	365.06	362.79
15/12/2016	365.04	362.71
16/12/2016	365.02	362.64
17/12/2016	365.00	362.58
18/12/2016	364.98	362.51
19/12/2016	364.96	362.44
20/12/2016	364.94	362.38
21/12/2016	364.92	362.31
22/12/2016	364.90	362.26
23/12/2016	364.88	362.20
24/12/2016	364.87	362.13
25/12/2016	364.85	362.06
26/12/2016	364.83	362.01
27/12/2016	364.82	361.95
28/12/2016	364.80	361.89
29/12/2016	364.78	361.83
30/12/2016	364.77	361.77
31/12/2016	364.75	361.72
01/01/2017	364.73	361.66
02/01/2017	364.72	361.61
03/01/2017	364.70	361.56
04/01/2017	364.69	361.51
05/01/2017	364.67	361.47
06/01/2017	364.86	361.42
07/01/2017	365.38	361.50
08/01/2017	366.06	361.74
09/01/2017	366.20	362.13
10/01/2017	366.17	362.36
11/01/2017	366.07	362.47
17/01/2017	366.74	362.81
18/01/2017	366.59	362.82
19/01/2017	366.46	362.86
20/01/2017	366.34	362.84
21/01/2017	366.23	362.78
22/01/2017	366.14	362.70
23/01/2017	366.05	362.63
24/01/2017	365.95	362.54
25/01/2017	365.87	362.47
26/01/2017	365.78	362.44
27/01/2017	365.70	362.42
28/01/2017	365.62	362.42
29/01/2017	365.55	362.42
