Date	HH_basin	HH_CH01
05/07/2016	364.88	349.09
06/07/2016	364.77	349.21
07/07/2016	364.68	349.28
08/07/2016	364.60	349.31
09/07/2016	364.55	349.30
10/07/2016	364.51	349.26
11/07/2016	364.44	349.22
12/07/2016	364.41	349.16
13/07/2016	364.41	349.11
14/07/2016	364.41	349.15
15/07/2016	364.41	349.18
16/07/2016	364.41	349.15
17/07/2016	364.41	349.07
18/07/2016	364.41	349.02
19/07/2016	364.41	349.00
20/07/2016	364.41	348.98
21/07/2016	364.41	348.80
22/07/2016	364.41	348.66
23/07/2016	364.41	348.62
24/07/2016	364.41	348.57
25/07/2016	364.41	348.53
26/07/2016	364.41	348.51
27/07/2016	365.25	348.49
28/07/2016	365.10	348.49
29/07/2016	364.99	348.72
30/07/2016	364.92	349.00
31/07/2016	364.83	349.22
01/08/2016	364.73	349.37
02/08/2016	364.65	349.47
03/08/2016	364.59	349.52
04/08/2016	364.53	349.53
05/08/2016	364.52	349.51
06/08/2016	365.23	349.45
07/08/2016	365.46	349.56
08/08/2016	365.28	349.88
09/08/2016	365.12	350.20
10/08/2016	365.00	350.42
11/08/2016	364.93	350.54
12/08/2016	364.85	350.63
13/08/2016	364.76	350.66
14/08/2016	364.69	350.64
15/08/2016	364.71	350.53
16/08/2016	364.82	350.46
17/08/2016	364.73	350.41
18/08/2016	364.67	350.38
19/08/2016	364.62	350.35
20/08/2016	364.56	350.32
21/08/2016	364.53	350.23
22/08/2016	364.49	350.17
23/08/2016	364.47	350.12
24/08/2016	364.44	350.05
25/08/2016	364.44	349.99
26/08/2016	364.60	349.98
27/08/2016	365.15	349.90
28/08/2016	365.54	349.95
29/08/2016	366.06	350.27
30/08/2016	366.69	351.02
31/08/2016	366.98	352.18
01/09/2016	367.04	353.45
02/09/2016	367.01	354.68
03/09/2016	366.98	355.85
04/09/2016	366.94	356.95
05/09/2016	366.76	357.89
06/09/2016	366.51	358.51
07/09/2016	366.27	358.82
08/09/2016	366.08	358.92
09/09/2016	365.89	358.87
10/09/2016	365.71	358.79
11/09/2016	365.58	358.69
12/09/2016	366.04	358.61
13/09/2016	366.66	358.83
14/09/2016	367.02	359.36
15/09/2016	367.05	360.08
16/09/2016	367.01	360.95
17/09/2016	367.02	361.68
18/09/2016	367.03	362.23
19/09/2016	367.00	362.72
20/09/2016	367.00	363.07
21/09/2016	366.95	363.54
22/09/2016	366.94	364.32
23/09/2016	366.95	364.60
24/09/2016	366.85	364.66
25/09/2016	366.76	364.70
26/09/2016	366.66	364.69
27/09/2016	366.57	364.67
28/09/2016	366.48	364.66
29/09/2016	366.39	364.62
30/09/2016	366.30	364.56
01/10/2016	366.26	364.59
02/10/2016	366.25	364.73
03/10/2016	366.19	364.66
04/10/2016	366.12	364.58
05/10/2016	366.06	364.49
06/10/2016	365.99	364.42
07/10/2016	365.93	364.34
08/10/2016	365.91	364.28
09/10/2016	366.20	364.25
10/10/2016	366.49	364.32
11/10/2016	366.74	364.42
12/10/2016	366.80	364.50
13/10/2016	366.81	364.56
14/10/2016	366.87	364.62
15/10/2016	367.01	364.71
16/10/2016	367.05	364.85
17/10/2016	367.08	364.94
18/10/2016	367.07	364.96
19/10/2016	367.06	364.99
20/10/2016	367.06	365.00
21/10/2016	367.02	365.01
22/10/2016	366.89	365.00
23/10/2016	366.81	364.99
24/10/2016	366.71	364.98
25/10/2016	366.63	364.98
26/10/2016	366.55	364.97
27/10/2016	366.46	364.95
28/10/2016	366.38	364.95
29/10/2016	366.31	364.94
30/10/2016	366.35	364.91
31/10/2016	366.85	364.95
01/11/2016	366.86	364.97
02/11/2016	366.88	364.97
03/11/2016	366.78	364.97
04/11/2016	366.69	364.95
05/11/2016	366.60	364.91
06/11/2016	366.52	364.87
07/11/2016	366.46	364.81
08/11/2016	366.45	364.79
09/11/2016	366.48	364.76
10/11/2016	366.50	364.76
11/11/2016	366.49	364.75
12/11/2016	366.48	364.72
13/11/2016	366.46	364.71
14/11/2016	366.46	364.70
15/11/2016	366.47	364.70
16/11/2016	366.47	364.69
17/11/2016	366.44	364.62
18/11/2016	366.36	364.52
19/11/2016	366.28	364.49
20/11/2016	366.21	364.42
21/11/2016	366.15	364.35
22/11/2016	366.09	364.29
23/11/2016	366.02	364.24
24/11/2016	365.96	364.18
25/11/2016	365.90	364.12
26/11/2016	365.84	364.07
27/11/2016	365.78	364.02
28/11/2016	365.73	363.94
29/11/2016	365.67	363.87
30/11/2016	365.61	363.81
01/12/2016	365.56	363.77
02/12/2016	365.51	363.71
03/12/2016	365.46	363.65
04/12/2016	365.41	363.58
05/12/2016	365.37	363.53
06/12/2016	365.32	363.48
07/12/2016	365.28	363.41
08/12/2016	365.24	363.34
