Date	HH_basin	HH_CH15
05/07/2016	364.88	347.32
06/07/2016	364.77	347.35
07/07/2016	364.68	347.38
08/07/2016	364.60	347.43
09/07/2016	364.55	347.47
10/07/2016	364.51	347.51
11/07/2016	364.44	347.55
12/07/2016	364.41	347.56
13/07/2016	364.41	347.58
14/07/2016	364.41	347.60
15/07/2016	364.41	347.61
16/07/2016	364.41	347.61
17/07/2016	364.41	347.60
18/07/2016	364.41	347.60
19/07/2016	364.41	347.59
20/07/2016	364.41	347.60
21/07/2016	364.41	347.58
22/07/2016	364.41	347.58
23/07/2016	364.41	347.57
24/07/2016	364.41	347.56
25/07/2016	364.41	347.54
26/07/2016	364.41	347.53
27/07/2016	365.25	347.53
28/07/2016	365.10	347.53
29/07/2016	364.99	347.52
30/07/2016	364.92	347.54
31/07/2016	364.83	347.56
01/08/2016	364.73	347.59
02/08/2016	364.65	347.64
03/08/2016	364.59	347.66
04/08/2016	364.53	347.69
05/08/2016	364.52	347.70
06/08/2016	365.23	347.72
07/08/2016	365.46	347.73
08/08/2016	365.28	347.75
09/08/2016	365.12	347.78
10/08/2016	365.00	347.83
11/08/2016	364.93	347.88
12/08/2016	364.85	347.93
13/08/2016	364.76	347.98
14/08/2016	364.69	348.00
15/08/2016	364.71	348.03
16/08/2016	364.82	348.04
17/08/2016	364.73	348.04
18/08/2016	364.67	348.05
19/08/2016	364.62	348.05
20/08/2016	364.56	348.06
21/08/2016	364.53	348.05
22/08/2016	364.49	348.05
23/08/2016	364.47	348.05
24/08/2016	364.44	348.05
25/08/2016	364.44	348.06
26/08/2016	364.60	348.06
27/08/2016	365.15	348.05
28/08/2016	365.54	348.05
29/08/2016	366.06	348.06
30/08/2016	366.69	348.07
31/08/2016	366.98	348.09
01/09/2016	367.04	348.15
02/09/2016	367.01	348.23
03/09/2016	366.98	348.27
04/09/2016	366.94	348.39
05/09/2016	366.76	348.57
06/09/2016	366.51	348.69
07/09/2016	366.27	348.86
08/09/2016	366.08	349.03
09/09/2016	365.89	349.17
10/09/2016	365.71	349.30
11/09/2016	365.58	349.44
12/09/2016	366.04	349.55
13/09/2016	366.66	349.66
14/09/2016	367.02	349.82
15/09/2016	367.05	349.96
16/09/2016	367.01	350.11
17/09/2016	367.02	350.28
18/09/2016	367.03	350.51
19/09/2016	367.00	350.78
20/09/2016	367.00	350.99
21/09/2016	366.95	351.26
22/09/2016	366.94	351.84
23/09/2016	366.95	352.51
24/09/2016	366.85	353.09
25/09/2016	366.76	353.58
26/09/2016	366.66	354.03
27/09/2016	366.57	354.45
28/09/2016	366.48	354.82
29/09/2016	366.39	355.15
30/09/2016	366.30	355.43
01/10/2016	366.26	355.68
02/10/2016	366.25	355.93
03/10/2016	366.19	356.19
04/10/2016	366.12	356.42
05/10/2016	366.06	356.63
06/10/2016	365.99	356.82
07/10/2016	365.93	357.00
08/10/2016	365.91	357.16
09/10/2016	366.20	357.30
10/10/2016	366.49	357.44
11/10/2016	366.74	357.57
12/10/2016	366.80	357.69
13/10/2016	366.81	357.80
14/10/2016	366.87	357.90
15/10/2016	367.01	358.00
16/10/2016	367.05	358.09
17/10/2016	367.08	358.18
18/10/2016	367.07	358.26
19/10/2016	367.06	358.37
20/10/2016	367.06	358.51
21/10/2016	367.02	358.64
22/10/2016	366.89	358.77
23/10/2016	366.81	358.88
24/10/2016	366.71	358.97
25/10/2016	366.63	359.05
26/10/2016	366.55	359.10
27/10/2016	366.46	359.14
28/10/2016	366.38	359.18
29/10/2016	366.31	359.21
30/10/2016	366.35	359.23
31/10/2016	366.85	359.25
01/11/2016	366.86	359.29
02/11/2016	366.88	359.34
03/11/2016	366.78	359.37
04/11/2016	366.69	359.40
05/11/2016	366.60	359.42
06/11/2016	366.52	359.41
07/11/2016	366.46	359.41
08/11/2016	366.45	359.41
09/11/2016	366.48	359.41
10/11/2016	366.50	359.42
11/11/2016	366.49	359.42
12/11/2016	366.48	359.40
13/11/2016	366.46	359.40
14/11/2016	366.46	359.40
15/11/2016	366.47	359.41
16/11/2016	366.47	359.40
17/11/2016	366.44	359.40
18/11/2016	366.36	359.39
19/11/2016	366.28	359.40
20/11/2016	366.21	359.39
21/11/2016	366.15	359.39
22/11/2016	366.09	359.39
23/11/2016	366.02	359.40
09/12/2016	365.20	359.03
10/12/2016	365.17	359.03
11/12/2016	365.14	359.01
12/12/2016	365.11	358.99
13/12/2016	365.09	358.97
14/12/2016	365.06	358.94
15/12/2016	365.04	358.92
16/12/2016	365.02	358.91
17/12/2016	365.00	358.90
18/12/2016	364.98	358.88
19/12/2016	364.96	358.86
20/12/2016	364.94	358.85
21/12/2016	364.92	358.83
22/12/2016	364.90	358.82
23/12/2016	364.88	358.81
24/12/2016	364.87	358.79
25/12/2016	364.85	358.76
26/12/2016	364.83	358.73
27/12/2016	364.82	358.71
28/12/2016	364.80	358.68
29/12/2016	364.78	358.65
30/12/2016	364.77	358.63
31/12/2016	364.75	358.61
01/01/2017	364.73	358.59
02/01/2017	364.72	358.56
03/01/2017	364.70	358.55
04/01/2017	364.69	358.53
05/01/2017	364.67	358.52
06/01/2017	364.86	358.50
07/01/2017	365.38	358.50
08/01/2017	366.06	358.48
09/01/2017	366.20	358.48
10/01/2017	366.17	358.48
11/01/2017	366.07	358.46
12/01/2017	366.20	358.44
13/01/2017	366.41	358.43
14/01/2017	366.59	358.42
15/01/2017	366.73	358.41
16/01/2017	366.81	358.42
17/01/2017	366.74	358.42
18/01/2017	366.59	358.42
19/01/2017	366.46	358.43
20/01/2017	366.34	358.44
21/01/2017	366.23	358.44
22/01/2017	366.14	358.43
23/01/2017	366.05	358.44
24/01/2017	365.95	358.44
25/01/2017	365.87	358.43
26/01/2017	365.78	358.44
27/01/2017	365.70	358.45
28/01/2017	365.62	358.43
29/01/2017	365.55	358.41
30/01/2017	365.48	358.40
31/01/2017	365.41	358.39
01/02/2017	365.35	358.37
02/02/2017	365.29	358.32
03/02/2017	365.24	358.31
04/02/2017	365.20	358.30
05/02/2017	365.15	358.28
06/02/2017	365.11	358.26
07/02/2017	365.07	358.24
08/02/2017	365.03	358.21
09/02/2017	364.98	358.20
10/02/2017	364.95	358.17
11/02/2017	364.92	358.13
12/02/2017	364.89	358.10
13/02/2017	364.86	358.06
14/02/2017	364.83	358.01
15/02/2017	364.81	357.97
16/02/2017	364.79	357.95
17/02/2017	364.76	357.90
18/02/2017	364.74	357.84
19/02/2017	364.72	357.80
20/02/2017	364.69	357.77
21/02/2017	364.67	357.71
22/02/2017	364.66	357.66
23/02/2017	364.64	357.60
24/02/2017	364.62	357.54
25/02/2017	364.62	357.49
26/02/2017	364.60	357.45
27/02/2017	364.58	357.39
28/02/2017	364.56	357.34
01/03/2017	364.55	357.30
02/03/2017	364.54	357.25
03/03/2017	364.52	357.21
04/03/2017	364.51	357.15
05/03/2017	364.49	357.10
