Date	HH_basin	HH_CH03
05/07/2016	364.88	347.24
06/07/2016	364.77	347.26
07/07/2016	364.68	347.29
08/07/2016	364.60	347.33
09/07/2016	364.55	347.38
10/07/2016	364.51	347.42
11/07/2016	364.44	347.45
12/07/2016	364.41	347.46
13/07/2016	364.41	347.47
14/07/2016	364.41	347.47
15/07/2016	364.41	347.45
16/07/2016	364.41	347.45
17/07/2016	364.41	347.44
18/07/2016	364.41	347.44
19/07/2016	364.41	347.44
20/07/2016	364.41	347.44
21/07/2016	364.41	347.43
22/07/2016	364.41	347.43
23/07/2016	364.41	347.42
24/07/2016	364.41	347.41
25/07/2016	364.41	347.40
26/07/2016	364.41	347.38
27/07/2016	365.25	347.39
28/07/2016	365.10	347.38
29/07/2016	364.99	347.38
30/07/2016	364.92	347.40
31/07/2016	364.83	347.43
01/08/2016	364.73	347.46
02/08/2016	364.65	347.50
03/08/2016	364.59	347.53
04/08/2016	364.53	347.55
05/08/2016	364.52	347.57
06/08/2016	365.23	347.58
07/08/2016	365.46	347.59
08/08/2016	365.28	347.61
09/08/2016	365.12	347.65
10/08/2016	365.00	347.69
11/08/2016	364.93	347.73
12/08/2016	364.85	347.79
13/08/2016	364.76	347.83
14/08/2016	364.69	347.85
15/08/2016	364.71	347.87
16/08/2016	364.82	347.88
17/08/2016	364.73	347.88
18/08/2016	364.67	347.89
19/08/2016	364.62	347.89
20/08/2016	364.56	347.89
21/08/2016	364.53	347.90
22/08/2016	364.49	347.90
23/08/2016	364.47	347.90
24/08/2016	364.44	347.90
25/08/2016	364.44	347.90
26/08/2016	364.60	347.91
27/08/2016	365.15	347.90
28/08/2016	365.54	347.90
29/08/2016	366.06	347.91
30/08/2016	366.69	347.91
31/08/2016	366.98	347.93
01/09/2016	367.04	347.96
02/09/2016	367.01	347.94
03/09/2016	366.98	347.92
04/09/2016	366.94	348.02
05/09/2016	366.76	348.17
06/09/2016	366.51	348.27
07/09/2016	366.27	348.41
08/09/2016	366.08	348.56
09/09/2016	365.89	348.68
10/09/2016	365.71	348.80
11/09/2016	365.58	348.91
12/09/2016	366.04	349.01
13/09/2016	366.66	349.11
14/09/2016	367.02	349.27
15/09/2016	367.05	349.38
16/09/2016	367.01	349.43
17/09/2016	367.02	349.49
18/09/2016	367.03	349.63
19/09/2016	367.00	349.80
20/09/2016	367.00	349.83
21/09/2016	366.95	349.96
22/09/2016	366.94	350.52
23/09/2016	366.95	351.15
24/09/2016	366.85	351.70
25/09/2016	366.76	352.21
26/09/2016	366.66	352.69
27/09/2016	366.57	353.00
04/10/2016	366.12	355.45
05/10/2016	366.06	355.62
06/10/2016	365.99	355.84
07/10/2016	365.93	356.06
08/10/2016	365.91	356.24
09/10/2016	366.20	356.42
10/10/2016	366.49	356.58
11/10/2016	366.74	356.74
12/10/2016	366.80	356.88
13/10/2016	366.81	357.01
14/10/2016	366.87	357.14
15/10/2016	367.01	357.26
16/10/2016	367.05	357.35
17/10/2016	367.08	357.46
18/10/2016	367.07	357.56
19/10/2016	367.06	357.67
20/10/2016	367.06	357.82
21/10/2016	367.02	357.96
22/10/2016	366.89	358.10
23/10/2016	366.81	358.23
24/10/2016	366.71	358.33
25/10/2016	366.63	358.37
26/10/2016	366.55	358.37
27/10/2016	366.46	358.44
28/10/2016	366.38	358.49
29/10/2016	366.31	358.52
30/10/2016	366.35	358.56
31/10/2016	366.85	358.61
01/11/2016	366.86	358.54
02/11/2016	366.88	358.47
03/11/2016	366.78	358.49
04/11/2016	366.69	358.53
05/11/2016	366.60	358.56
06/11/2016	366.52	358.55
07/11/2016	366.46	358.55
08/11/2016	366.45	358.56
09/11/2016	366.48	358.56
10/11/2016	366.50	358.58
11/11/2016	366.49	358.59
12/11/2016	366.48	358.58
13/11/2016	366.46	358.57
14/11/2016	366.46	358.57
15/11/2016	366.47	358.58
16/11/2016	366.47	358.58
17/11/2016	366.44	358.58
18/11/2016	366.36	358.59
19/11/2016	366.28	358.60
20/11/2016	366.21	358.59
21/11/2016	366.15	358.59
22/11/2016	366.09	358.61
23/11/2016	366.02	358.61
