Date	HH_basin	HH_CH08
05/07/2016	364.88	347.16
06/07/2016	364.77	347.18
07/07/2016	364.68	347.21
08/07/2016	364.60	347.25
09/07/2016	364.55	347.30
10/07/2016	364.51	347.34
11/07/2016	364.44	347.36
12/07/2016	364.41	347.39
13/07/2016	364.41	347.40
14/07/2016	364.41	347.51
15/07/2016	364.41	347.61
16/07/2016	364.41	347.61
17/07/2016	364.41	347.60
18/07/2016	364.41	347.60
19/07/2016	364.41	347.60
20/07/2016	364.41	347.60
21/07/2016	364.41	347.67
22/07/2016	364.41	347.71
23/07/2016	364.41	347.70
24/07/2016	364.41	347.69
25/07/2016	364.41	347.68
26/07/2016	364.41	347.66
27/07/2016	365.25	347.66
28/07/2016	365.10	347.66
29/07/2016	364.99	347.66
30/07/2016	364.92	347.68
31/07/2016	364.83	347.70
01/08/2016	364.73	347.74
02/08/2016	364.65	347.78
03/08/2016	364.59	347.80
04/08/2016	364.53	347.83
05/08/2016	364.52	347.85
06/08/2016	365.23	347.86
07/08/2016	365.46	347.87
08/08/2016	365.28	347.90
09/08/2016	365.12	347.93
10/08/2016	365.00	347.97
11/08/2016	364.93	348.02
12/08/2016	364.85	348.06
13/08/2016	364.76	348.11
14/08/2016	364.69	348.13
15/08/2016	364.71	348.15
16/08/2016	364.82	348.16
17/08/2016	364.73	348.16
18/08/2016	364.67	348.17
19/08/2016	364.62	348.18
20/08/2016	364.56	348.18
21/08/2016	364.53	348.18
22/08/2016	364.49	348.18
23/08/2016	364.47	348.18
24/08/2016	364.44	348.19
25/08/2016	364.44	348.19
26/08/2016	364.60	348.20
27/08/2016	365.15	348.20
28/08/2016	365.54	348.20
29/08/2016	366.06	348.20
30/08/2016	366.69	348.21
31/08/2016	366.98	348.23
01/09/2016	367.04	348.24
02/09/2016	367.01	348.25
03/09/2016	366.98	348.26
04/09/2016	366.94	348.36
05/09/2016	366.76	348.51
06/09/2016	366.51	348.61
07/09/2016	366.27	348.75
08/09/2016	366.08	348.89
09/09/2016	365.89	349.01
10/09/2016	365.71	349.12
11/09/2016	365.58	349.24
12/09/2016	366.04	349.34
13/09/2016	366.66	349.44
14/09/2016	367.02	349.60
15/09/2016	367.05	349.72
16/09/2016	367.01	349.79
17/09/2016	367.02	349.87
18/09/2016	367.03	350.01
19/09/2016	367.00	350.19
20/09/2016	367.00	350.28
21/09/2016	366.95	350.44
22/09/2016	366.94	350.90
23/09/2016	366.95	351.31
24/09/2016	366.85	351.70
25/09/2016	366.76	352.14
26/09/2016	366.66	352.56
27/09/2016	366.57	352.81
28/09/2016	366.48	353.09
29/09/2016	366.39	353.43
30/09/2016	366.30	353.76
01/10/2016	366.26	354.05
02/10/2016	366.25	354.35
03/10/2016	366.19	354.66
04/10/2016	366.12	354.84
05/10/2016	366.06	354.99
06/10/2016	365.99	355.24
07/10/2016	365.93	355.48
08/10/2016	365.91	355.70
09/10/2016	366.20	355.92
10/10/2016	366.49	356.11
11/10/2016	366.74	356.30
12/10/2016	366.80	356.49
13/10/2016	366.81	356.64
14/10/2016	366.87	356.80
15/10/2016	367.01	356.94
16/10/2016	367.05	357.07
17/10/2016	367.08	357.19
18/10/2016	367.07	357.30
19/10/2016	367.06	357.42
20/10/2016	367.06	357.57
21/10/2016	367.02	357.71
22/10/2016	366.89	357.85
23/10/2016	366.81	357.97
24/10/2016	366.71	358.09
25/10/2016	366.63	358.20
26/10/2016	366.55	358.28
27/10/2016	366.46	358.33
28/10/2016	366.38	358.40
29/10/2016	366.31	358.45
30/10/2016	366.35	358.49
31/10/2016	366.85	358.52
01/11/2016	366.86	358.48
02/11/2016	366.88	358.43
03/11/2016	366.78	358.46
04/11/2016	366.69	358.50
05/11/2016	366.60	358.53
06/11/2016	366.52	358.53
07/11/2016	366.46	358.54
08/11/2016	366.45	358.55
09/11/2016	366.48	358.56
10/11/2016	366.50	358.58
11/11/2016	366.49	358.59
12/11/2016	366.48	358.58
13/11/2016	366.46	358.57
14/11/2016	366.46	358.58
15/11/2016	366.47	358.59
16/11/2016	366.47	358.58
17/11/2016	366.44	358.59
18/11/2016	366.36	358.60
19/11/2016	366.28	358.62
20/11/2016	366.21	358.61
21/11/2016	366.15	358.61
22/11/2016	366.09	358.62
23/11/2016	366.02	358.63
24/11/2016	365.96	358.51
25/11/2016	365.90	358.58
26/11/2016	365.84	358.59
27/11/2016	365.78	358.58
28/11/2016	365.73	358.57
29/11/2016	365.67	358.56
30/11/2016	365.61	358.58
01/12/2016	365.56	358.58
02/12/2016	365.51	358.56
03/12/2016	365.46	358.54
04/12/2016	365.41	358.52
05/12/2016	365.37	358.52
06/12/2016	365.32	358.52
07/12/2016	365.28	358.53
08/12/2016	365.24	358.52
09/12/2016	365.20	358.52
10/12/2016	365.17	358.50
11/12/2016	365.14	358.49
12/12/2016	365.11	358.48
13/12/2016	365.09	358.46
14/12/2016	365.06	358.43
15/12/2016	365.04	358.42
16/12/2016	365.02	358.39
17/12/2016	365.00	358.39
18/12/2016	364.98	358.38
19/12/2016	364.96	358.36
20/12/2016	364.94	358.35
21/12/2016	364.92	358.33
22/12/2016	364.90	358.33
23/12/2016	364.88	358.33
24/12/2016	364.87	358.32
25/12/2016	364.85	358.30
26/12/2016	364.83	358.27
27/12/2016	364.82	358.25
28/12/2016	364.80	358.23
29/12/2016	364.78	358.21
